#EJECUCIÓN GASTOS CORRIENTES EJERCICIO 2015,,,,,,,
#Org.,Prog.,Econ.,DENOMINACIÓN DE LAS APLICACIONES,Créditos Iniciales,Modificaciones,Créditos Totales,Obligaciones Reconocidas
A,132,12000,SUELDOS DEL GRUPO A1,58000,0,58000,42347.04
A,132,12001,SUELDOS DEL GRUPO A2,25000,0,25000,921
A,132,12003,SUELDOS DEL GRUPO C1,79000,0,79000,28248.52
A,132,12004,SUELDOS DEL GRUPO C2,552000,0,552000,815710.15
A,132,12006,TRIENIOS,93000,0,93000,91085.97
A,132,12100,COMPLEMENTO DE DESTINO,445000,0,445000,401656.97
A,132,12101,COMPLEMENTO ESPECÍFICO,1409000,0,1409000,1343553.5
A,132,12103,OTROS COMPLEMENTOS,25000,0,25000,15880
A,132,15000,PRODUCTIVIDAD,318000,0,318000,320767.6
A,132,15200,OTROS INCENTIVOS AL RENDIMIENTO,108000,0,108000,119973.23
A,132,15300,COMPLEMENTO DEDICACION ESPECIAL,28000,0,28000,31239.01
A,132,16000,SEGURIDAD SOCIAL,905000,0,905000,769052.59
A,132,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,7000,0,7000,7173.28
A,132,16204,ACCIÓN SOCIAL,18000,0,18000,22810.4
A,132,16205,SEGUROS,8500,0,8500,6544.95
A,132,16209,OTROS GASTOS SOCIALES,7500,0,7500,5547.09
A,132,20400,ARRENDAMIENTO MATERIAL DE TRANSPORTE,30000,0,30000,18513.24
A,132,20600,ARRENDAMIENTO EQUIPOS PROCESOS DE INFORMACION,8000,0,8000,5076.68
A,132,21200,REP. MANT. Y CONSERVACION EDIFICIOS,1000,0,1000,5144.6
A,132,21300,REPARACIONES MANTENIMIENTO Y CONSERVACION MAQUINARIA,3000,0,3000,933.56
A,132,21400,REP. MANT. Y CONSERVACION ELEMENTOS TRANSPORTE,24000,0,24000,17178.06
A,132,22100,SUMINISTROS: ENERGÍA ELÉCTRICA,4000,0,4000,0
A,132,22101,SUMINISTROS: AGUA,1000,0,1000,1671.63
A,132,22103,COMBUSTIBLES Y CARBURANTES,22000,0,22000,20055.05
A,132,22104,VESTUARIO,40000,0,40000,43139.02
A,132,22115,UTILES SEGURIDAD VIAL,18000,0,18000,11284.49
A,132,22118,UTILES,6000,0,6000,676.91
A,132,22200,SERVICIOS DE TELECOMUNICACIONES,10000,0,10000,7090.21
A,132,22201,POSTALES,7000,0,7000,5713.14
A,132,22637,GASTOS DIVERSOS SEGURIDAD CIUDADANA,14000,0,14000,12931.74
A,132,22715,CONTRATOS SERVICIO RETIRADA VEHICULOS VIA PUBLICA,12000,0,12000,8554.02
A,132,22719,MANTENIMIENTO CLIMATIZACION,5000,0,5000,6397.34
