#Clasificación,DENOMINACIÓN DE LAS APLICACIONES,Previsiones Iniciales,Modificaciones,Previsiones Definitivas,Derechos Netos
11200,DE NATURALEZA RUSTICA,15000,0,15000,13740.09
11300,DE NATURALEZA URBANA,20500000,0,20500000,21383997.49
11500,IMPUESTO SOBRE VEHICULOS DE TRACCION MECANICA,1800000,0,1800000,1477693.46
11600,IMPUESTO SOBRE INCREMENTO VALOR TERRENOS,7100000,0,7100000,10006738.6
13000,IMPUESTO SOBRE ACTIVIDADES ECONOMICAS,2400000,0,2400000,2452789.38
29000,"IMPUESTO SOBRE CONSTRUCCIONES, INSTALACIONES Y OBRAS",800000,0,800000,480145.76
30200,TASA POR PRESTACION SERVICIO RECOGIDA DE RESIDUOS,200000,0,200000,183102.01
31100,TASA PRESTACION SERVICIO PROTECCION CIVIL,30000,0,30000,188425.19
31300,TASA POR ALQUILER D EINSTALACIONES DEPORTIVAS,50000,0,50000,39598.73
31900,TASA POR ALQUILER DE INSTALACIONES CULTURALES,20000,0,20000,15100.05
32100,TASA LICENCIAS URBANÍSTICAS,700000,0,700000,929532.48
32101,TASA POR LICENCIA DE APERTURA,500000,0,500000,133954.2
32300,TASA PRESTACION SERVICIO PLANEAMIENTO E INSPECCION,1000,0,1000,0
32500,TASA POR EXPEDICIÓN DE DOCUMENTOS,30000,0,30000,18857.8
32600,TASA POR RETIRADA DE VEHÍCULOS.,5000,0,5000,1504.2
32900,TASA TENENCIA ANIMALES PELIGROSOS,1000,0,1000,835.2
32901,TASA POR CELEBRACION DE MATRIMONIOS CIVILES,10000,0,10000,8332.8
33100,TASA POR ENTRADA DE VEHICULOS A TRAVÉS DE LAS ACERAS,200000,0,200000,141778.54
33200,TASA POR OCUPACION SUBSUELO Y VUELO DOMINIO PUBLICO,1000000,0,1000000,745551.17
33500,TASA POR OCUPACION DOMINIO PUBLICO MESAS Y SILLAS,100000,0,100000,96195.41
33800,COMPENSACION TELEFONICA DE ESPAÑA,200000,0,200000,190697.32
33901,TASA POR OCUPACION DOMINIO PUBLICO CON QUIOSCOS,3000,0,3000,1842.15
33902,TASA POR OCUPACION DOMINIO PUBLICO PUESTOS MERCADILLO,30000,0,30000,28566.45
33903,TASA POR OCUPACION DOMINIO PUBLICO PUESTOS ESPORADICOS,60000,0,60000,57979.1
33904,"TASA POR OCUPACION DOMINIO PUBLICO CON VALLAS, ANDAMIOS, ETC",50000,0,50000,33675.31
34100,PRECIO PUBLICO USUARIOS SERVICIOS SOCIALES,25000,0,25000,14626.9
34203,PRECIO PUBLICO ESCUELA DE MUSICA,240000,0,240000,222929.65
34204,PRECIO PUBLICO ACTIVIDADES CULTURALES,9000,0,9000,11314.82
34205,PRECIO PUBLICO SERVICIOS ESCUELA INFANTIL,268000,0,268000,302392.86
34206,PRECIO PUBLICO ACTIVIDADES DE JUVENTUD,3000,0,3000,100
34300,PRECIO PUBLICO ACTIVIDADES DEPORTIVAS,40000,0,40000,5733.89
