#Org.,Prog.,Econ.,DENOMINACIÓN DE LAS APLICACIONES,Créditos Iniciales,Modificaciones,Créditos Totales,Obligaciones Reconocidas
010,130,12001,SUELDOS DEL GRUPO A2,13108.32,0,13108.32,20615.75
010,130,12003,SUELDOS DEL GRUPO C1,29314.83,0,29314.83,32463.16
010,130,12004,SUELDOS DEL GRUPO C2,167788.59,0,167788.59,180475.66
010,130,12006,TRIENIOS,43609.5,0,43609.5,39625.47
010,130,12100,COMPLEMENTO DE DESTINO,139665.29,0,139665.29,123633.1
010,130,12101,COMPLEMENTO ESPECIFICO,395908.06,0,395908.06,419558.08
010,130,12103,OTROS COMPLEMENTOS,5720.64,0,5720.64,5666.44
010,130,12200,RETRIBUCIONES EN ESPECIE,1667.25,0,1667.25,590
010,130,12700,CONTRIBUCIONES A PLANES Y FONDOS DE PENSIONES,4360.5,0,4360.5,0
010,130,15000,PRODUCTIVIDAD,102300.09,0,102300.09,90002.74
010,130,15100,GRATIFICACIONES,1795.5,0,1795.5,10668.38
010,130,15200,OTROS INCENTIVOS AL RENDIMIENTO,75718.8,0,75718.8,11058.96
010,130,15300,COMPLEMENTO DEDICACION ESPECIAL,19891.24,0,19891.24,0
010,130,16000,SEGURIDAD SOCIAL,225000,0,225000,240627.23
010,130,16200,FORMACION Y PERFECCIONAMIENTO DEL PERSONAL FUNCIONARIO,1615.95,0,1615.95,0
010,130,16204,ACCION SOCIAL,3616.65,0,3616.65,8490.32
010,130,16205,SEGUROS,2000.7,0,2000.7,1973.85
010,130,16209,OTROS GASTOS SOCIALES,641.25,0,641.25,589.89
010,130,20400,ARRENDAMIENTO MATERIAL DE TRANSPORTE,75622.44,12446.59,88069.03,76878.09
010,130,20600,ARRENDAMIENTO DE EQUIPOS PARA PROCESOS DE INFORMACION,10000,0,10000,9725.94
010,130,21200,"REPARACIONES, MANTENIMIENTO Y CONSERVACION EDIFICIOS",2500,0,2500,844.64
010,130,21300,REPARACIONES MANTENIMIENTO Y CONSERVACION MAQUINARIA,3000,0,3000,372.89
010,130,21400,"REPARACIÓN, MANTENM Y CONSERVACIÓN ELEMENTOS  DE TRANSPORTE",15000,0,15000,3973.75
010,130,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,3500,0,3500,1430.45
010,130,22100,ENERGÍA ELECTRÍCA,7000,50000,57000,42834.75
010,130,22101,AGUA,1000,500,1500,568.99
010,130,22103,COMBUSTIBLE Y CARBURANTES,25000,0,25000,3648.26
010,130,22104,VESTUARIO,10000,0,10000,14078.54
010,130,22110,PRODUCTOS DE LIMPIEZA Y ASEO,1500,0,1500,212.08
010,130,22115,ÚTILES SEGURIDAD VIAL,10000,0,10000,0
010,130,22118,ÚTILES SEGURIDAD CIUDADANA,10000,0,10000,9682.94
010,130,22200,COMUNICACIONES TELEFÓNICAS,10000,0,10000,7920.26
010,130,22201,COMUNICACIONES POSTALES,5000,0,5000,7079.74
010,130,22404,SEGUROS DE ELEMENTOS DE TRANSPORTE,30000,0,30000,26428.84
010,130,22637,GASTOS DIVERSOS SEGURIDAD CIUDADANA,4000,0,4000,3734.95
010,130,22701,SEGURIDAD.,0,0,0,0
010,130,23120,LOCOMOCIÓN DEL PERSONAL NO DIRECTIVO,756,0,756,0
010,130,62700,REMODELACION CENTRO PROCESOS DATOS,0,0,0,0
010,130,63300,"INVERSION DE REPOS. MAQUINARIA,INSTALAC.TECNICAS Y UTILLAJE",8000,0,8000,3207.19
010,132,12004,SUELDOS DEL GRUPO C2,415476.56,0,415476.56,462331.76
010,132,12006,TRIENIOS,23608.43,0,23608.43,28155.96
010,132,12100,COMPLEMENTO DE DESTINO,263844.01,0,263844.01,239144.45
010,132,12101,COMPLEMENTO ESPECIFICO,672295.39,0,672295.39,775425.01
010,132,12103,OTROS COMPLEMENTOS,3174.22,0,3174.22,3052.04
010,132,12200,RETRIBUCIONES EN ESPECIE,3272.75,0,3272.75,11380
010,132,12700,CONTRIBUCIONES A PLANES Y FONDOS DE PENSIONES,8559.5,0,8559.5,0
010,132,15000,PRODUCTIVIDAD,196646.13,0,196646.13,176883.72
010,132,15100,GRATIFICACIONES,3524.5,0,3524.5,28578.92
010,132,15200,OTROS INCENTIVOS AL RENDIMIENTO,148633.2,0,148633.2,45992.72
010,132,15300,COMPLEMENTO DEDICACION ESPECIAL,101614.14,0,101614.14,5161.24
010,132,16000,SEGURIDAD SOCIAL,415000,0,415000,434486.7
010,132,16200,FORMACION Y PERFECCIONAMIENTO DEL PERSONAL FUNCIONARIO,3172.05,0,3172.05,0
010,132,16204,ACCION SOCIAL,7099.35,0,7099.35,13572.01
010,132,16205,SEGUROS,3927.3,0,3927.3,3874.62
010,132,16209,OTROS GASTOS SOCIALES,1258.75,0,1258.75,712.02
010,132,22104,VESTUARIO,40000,0,40000,54994.54
010,132,22118,ÚTILES,15000,0,15000,0
010,132,23120,LOCOMOCIÓN DEL PERSONAL NO DIRECTIVO,1484,0,1484,0
010,132,63300,"INVERSION DE REPOS. MAQUINARIA,INSTALAC.TECNICASY UTILLAJE",7000,0,7000,0
010,133,12004,SUELDOS DEL GRUPO C2,95879.2,0,95879.2,102036.55
010,133,12006,TRIENIOS,5246.32,0,5246.32,6008.74
010,133,12100,COMPLEMENTO DE DESTINO,62253.84,0,62253.84,60083.2
010,133,12101,COMPLEMENTO ESPECIFICO,152960.54,0,152960.54,195400.92
010,133,12103,OTROS COMPLEMENTOS,719.27,0,719.27,1059.96
010,133,12200,RETRIBUCIONES EN ESPECIE,741,0,741,4110
010,133,12700,CONTRIBUCIONES A PLANES Y FONDOS DE PENSIONES,1938,0,1938,0
010,133,15000,PRODUCTIVIDAD,44220.16,0,44220.16,44036.26
010,133,15100,GRATIFICACIONES,798,0,798,7099.95
010,133,15200,OTROS INCENTIVOS AL RENDIMIENTO,33652.8,0,33652.8,9164.8
010,133,15300,COMPLEMENTO DEDICACION ESPECIAL,7224.28,0,7224.28,737.32
010,133,16000,SEGURIDAD SOCIAL,100000,0,100000,76273.55
010,133,16200,FORMACION Y PERFECCIONAMIENTO DEL PERSONAL,718.2,0,718.2,0
010,133,16204,ACCION SOCIAL,1607.4,0,1607.4,1486.77
010,133,16205,SEGUROS,889.2,0,889.2,877.27
010,133,16209,OTROS GASTOS SOCIALES,285,0,285,161.01
010,133,22104,VESTUARIO,10000,0,10000,5000
010,133,22118,ÚTILES,5000,0,5000,0
010,133,22715,CONTRATO SERVICIO RETIRADA VEHÍCULOS VÍA PÚBLICA,2000,2000,4000,3879.75
010,133,23120,LOCOMOCIÓN DEL PERSONAL NO DIRECTIVO,336,0,336,125
010,133,44903,SUBVENCION PERDIDAS GESTION APARCAMIENTO MPAL,0,0,0,0
010,133,63300,"INVERSION DE REPOS. MAQUINARIA,INSTALAC.TECNICAS Y UTILLAJE",5000,0,5000,2500
020,150,13000,RETRIBUCIONES BÁSICAS LABORAL FIJO,9775.61,0,9775.61,29340.68
020,150,13001,HORAS EXTRAORDINARIAS LABORAL FIJO,7961.25,0,7961.25,0
020,150,13002,OTRAS REMUNERACIONES LABORAL FIJO,60416.68,0,60416.68,10903.06
020,150,13700,CONTRIBUCIONES A PLANES Y FONDOS DE PENSIONES,247,0,247,0
020,150,15000,PRODUCTIVIDAD,5111.71,0,5111.71,7396.32
020,150,15200,OTROS INCENTIVOS AL RENDIMIENTO,3011.5,0,3011.5,0
020,150,15300,COMPLEMENTO DE DEDICACION ESPECIAL,566.66,0,566.66,0
020,150,16000,SEGURIDAD SOCIAL,12000,0,12000,17298.46
020,150,16200,FORMACION Y PERFECCIONAMIENTO DEL PERSONAL,98.8,0,98.8,445.17
020,150,16204,ACCION SOCIAL,326.8,0,326.8,2765.3
020,150,16205,SEGUROS,148.2,0,148.2,146.22
020,150,16209,OTROS GASTOS SOCIALES,47.5,0,47.5,26.84
020,150,20600,ARRENDAMIENTO DE EQUIPOS PARA PROCESOS DE INFORMACION,10000,0,10000,9725.94
020,150,21200,"REPARACIONES, MANTENIMIENTO Y CONSERVACION EDIFICIOS",2000,0,2000,786.88
020,150,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,3500,0,3500,1430.45
020,150,22100,ENERGÍA ELECTRÍCA,6000,0,6000,5562.49
020,150,22101,AGUA,1000,5000,6000,5922.49
020,150,22102,GAS,2500,0,2500,2603.37
020,150,22110,PRODUCTOS DE LIMPIEZA Y ASEO,1500,0,1500,1425.31
020,150,22200,COMUNICACIONES TELEFÓNICAS,10000,0,10000,7202.64
020,150,22201,COMUNICACIONES POSTALES,5000,0,5000,7797.36
020,150,22718,CONTRATO MANTENIMIENTO ASCENSORES,5000,0,5000,2209.2
020,150,22719,CONTRATO MANTENIMIENTO CLIMATIZACION,10000,0,10000,11220.48
020,150,23120,LOCOMOCION DEL PERSONAL NO DIRECTIVO,34,0,34,0
020,151,12002,SUELDOS DEL GRUPO A1,46335.61,0,46335.61,43407.3
020,151,12003,SUELDOS DEL GRUPO C1,9775.61,0,9775.61,0
020,151,12004,SUELDOS DEL GRUPO C2,7989.94,0,7989.94,0
020,151,12006,TRIENIOS,7961.25,0,7961.25,4712.27
020,151,12100,COMPLEMENTO DE DESTINO,45107.81,0,45107.81,33425.7
020,151,12101,COMPLEMNETO ESPECIFICO,60416.68,0,60416.68,48965.14
020,151,12103,OTROS COMPLEMENTOS,377.27,0,377.27,0
020,151,12200,RETRIBUCIONES EN ESPECIE,247,0,247,0
020,151,12700,CONTRIBUCION A PLANES Y FONDOS DE PENSIONES,646,0,646,0
020,151,13000,RETRIBUCIONES BÁSICAS LABORAL FIJO,7989.94,0,7989.94,21388.73
020,151,13001,HORAS EXTRAORDINARIAS LABORAL FIJO,45107.81,0,45107.81,0
020,151,13002,OTRAS REMUNERACIONES LABORAL FIJO,377.27,0,377.27,9767.38
020,151,13700,CONTRIBUCIONES A PLANES Y FONDOS DE PENSIONES,646,0,646,0
020,151,15000,PRODUCTIVIDAD,20895.09,0,20895.09,13488.32
020,151,15100,GRATIFICACIONES,266,0,266,388.76
020,151,15200,OTROS INCENTIVOS AL RENDIMIENTO,5647.75,0,5647.75,0
020,151,15300,COMPLEMENTO DE DEDICACION ESPECIAL,388.76,0,388.76,0
020,151,16000,SEGURIDAD SOCIAL,53000,0,53000,49280.18
020,151,16200,FORMACION Y PERFECCIONAMIENTO DEL PERSONAL,288.8,0,288.8,121.41
020,151,16202,ACCION SOCIAL,699.2,0,699.2,0
020,151,16205,SEGUROS,370.5,0,370.5,365.54
020,151,16209,OTROS GASTOS SOCIALES,118.75,0,118.75,67.37
020,151,22719,DIVERSOS CONTRATOS DE MANTENIMIENTO,0,0,0,0
020,151,23120,LOCOMOCIÓN DEL PERSONAL NO DIRECTIVO,129,0,129,0
020,151,60000,INVERSIONES EN TERRENOS,895000,0,895000,705062.7
020,151,61002,INVERSIONES EN TERRENOS.,0,0,0,0
020,151,62200,INVERSION NUEVA EN EDIFICIOS Y OTRAS CONSTRUCCIONES,6050000,0,6050000,1433205.63
020,151,62204,OBRAS PUESTA EN FUNCIONAMIENTO BIBLIOTECA MUNICIPAL LA TENER,0,118800,118800,53427.96
020,151,62205,ELIMINACION BARRERAS ARQUITECTONICAS,0,0,0,0
020,151,62304,SOTERRAMIENTO CENTROS DE TRANSFORMACION,0,0,0,0
020,151,75000,TRANSFERENCIAS DE CAPITAL A LA ADM. GENERAL DE LA CCAA,388316,0,388316,0
022,433,12001,SUELDOS DEL GRUPO A2,39324.96,0,39324.96,38501.46
022,433,12006,TRIENIOS,5225.84,0,5225.84,5640.63
022,433,12100,COMPLEMENTO DE DESTINO,24482.45,0,24482.45,24482.64
022,433,12101,COMPLEMENTO ESPECIFICO,41498.43,0,41498.43,41498.52
022,433,12200,RETRIBUCIONES EN ESPECIE,185.25,0,185.25,0
022,433,12700,CONTRIBUCIONES A PLANES Y FONDOS DE PENSIONES,484.5,0,484.5,0
022,433,13000,RETRIBUCIONES BÁSICAS LABORAL FIJO,58011.6,0,58011.6,58433.79
022,433,13001,HORAS EXTRAORDINARIAS LABORAL FIJO,165.3,0,165.3,0
022,433,13002,OTRAS REMUNERACIONES LABORAL FIJO,25791.76,0,25791.76,25348.88
022,433,13700,CONTRIBUCIONES A PLANES Y FONDOS DE PENSIONES,484.5,0,484.5,0
022,433,15000,PRODUCTIVIDAD,19886.99,0,19886.99,19646.31
022,433,15100,GRATIFICACIONES,199.5,0,199.5,0
022,433,15200,OTROS INCENTIVOS AL RENDIMIENTO,7623.75,0,7623.75,736.12
022,433,15300,COMPLEMENTO DE DEDICACION ESPECIAL,2287.88,0,2287.88,1217.02
022,433,16000,SEGURIDAD SOCIAL,52000,0,52000,52311.79
022,433,16200,FORMACION Y PERFECCIONAMIENTO DEL PERSONAL,327.75,0,327.75,188.64
022,433,16204,ACCION SOCIAL,892.05,0,892.05,1875.63
022,433,16205,SEGUROS,444.6,0,444.6,1462.37
022,433,16209,OTROS GASTOS SOCIALES,142.5,0,142.5,80.5
022,433,23120,LOCOMOCIÓN DEL PERSONAL NO DIRECTIVO,17,0,17,0
022,439,12001,SUELDOS DEL GRUPO A1,15445.2,0,15445.2,14481.36
022,439,12003,SUELDOS DEL GRUPO C1,9771.61,0,9771.61,9884.84
022,439,12006,TRIENIOS,3919.11,0,3919.11,3738.44
022,439,12100,COMPLEMENTO DE DESTINO.,22214.4,0,22214.4,17297.7
022,439,12101,COMPLEMENTO ESPECÍFICO.,22214.4,0,22214.4,22214.36
022,439,12200,RETRIBUCIONES EN ESPECIE AL PERSONAL,123.5,0,123.5,0
022,439,12700,CONTRIBUCIONES A PLANES Y FONDOS DE PENSIONES,323,0,323,0
022,439,15000,PRODUCTIVIDAD,8518.19,0,8518.19,8517.88
022,439,15100,GRATIFICACIONES,133,0,133,0
022,439,15200,OTROS INCENTIVOS AL RENDIMIENTO,2071,0,2071,0
022,439,15300,COMPLEMENTO DE DEDICACION ESPECIAL,5992.42,0,5992.42,0
022,439,16000,SEGURIDAD SOCIAL,22000,0,22000,21241.74
022,439,16200,FORMACION Y PERFECCIONAMIENTO DEL PERSONAL,119.7,0,119.7,0
022,439,16204,ACCION SOCIAL,267.9,0,267.9,0
022,439,16205,SEGUROS,148.2,0,148.2,146.22
022,439,16209,OTROS GASTOS SOCIALES,47.5,0,47.5,26.84
022,439,23120,LOCOMOCION DEL PERSONAL NO DIRECTIVO,56,0,56,0
022,450,12001,SUELDOS DEL GRUPO A1,15445.2,0,15445.2,14931.27
022,450,12003,SUELDOS DEL GRUPO C1,3563.36,0,3563.36,0
022,450,12006,TRIENIOS,1781.14,0,1781.14,1637.81
022,450,12100,COMPLEMENTO DE DESTINO,13422.61,0,13422.61,12107.09
022,450,12101,COMPLEMENTO ESPECIFICO,32912.86,0,32912.86,32756.15
022,450,12200,RETRIBUCIONES EN ESPECIE,185.25,0,185.25,0
022,450,12700,CONTRIBUCIONES A PLANES Y FONDOS DE PENSIONES,484.5,0,484.5,0
022,450,13000,RETRIBUCIONES BÁSICAS LABORAL FIJO,41640.04,0,41640.04,49879.05
022,450,13001,HORAS EXTRAORDINARIAS LABORAL FIJO,165.3,0,165.3,0
022,450,13002,OTRAS REMUNERACIONES LABORAL FIJO,16717.97,0,16717.97,18245.76
022,450,13700,CONTRIBUCIONES A PLANES Y FONDOS DE PENSIONES,484.5,0,484.5,0
022,450,15000,PRODUCTIVIDAD,13614.71,0,13614.71,13967.89
022,450,15100,GRATIFICACIONES,199.5,0,199.5,0
022,450,15200,OTROS INCENTIVOS AL RENDIMIENTO,7623.75,0,7623.75,225.4
022,450,15300,COMPLEMENTO DE DEDICACION ESPECIAL,3777.65,0,3777.65,315.56
022,450,16000,SEGURIDAD SOCIAL,34000,0,34000,35191.57
022,450,16200,FORMACION Y PERFECCIONAMIENTO DEL PERSONAL LABORAL,327.75,0,327.75,775.17
022,450,16204,ACCION SOCIAL,892.05,0,892.05,938.76
022,450,16205,SEGUROS,444.6,0,444.6,438.63
022,450,16209,OTROS GASTOS SOCIALES,142.5,0,142.5,80.5
022,450,23120,LOCOMOCIÓN DEL PERSONAL NO DIRECTIVO,135,0,135,0
022,450,44908,SUBVENCIÓN PERDIDAS MANTENIMIENTO INFR ESTRUCTURAS,2034147,0,2034147,2034147
030,150,22719,DIVERSOS CONTRATOS DE MANTENIMIENTO,0,0,0,0
030,160,12003,SUELDOS DEL GRUPO A2,13108.32,0,13108.32,13374.46
030,160,12100,COMPLEMENTO DE DESTINO,8160.81,0,8160.81,8160.88
030,160,12101,COMPLEMENTO ESPECIFICO,13832.81,0,13832.81,13832.84
030,160,12200,RETRIBUCIONES EN ESPECIE,61.75,0,61.75,0
030,160,12700,CONTRIBUCIONES A PLANES Y FONDOS DE PENSIONES,161.5,0,161.5,0
030,160,13000,RETRIBUCIONES BÁSICA LABORAL FIJO,160861.7,0,160861.7,115797.9
030,160,13001,HORAS EXTRAORDINARIAS LABORAL FIJO,661.2,0,661.2,2301.48
030,160,13002,OTRAS REMUNERACIONES LABORAL FIJO,85979.26,0,85979.26,53326.77
030,160,13100,RETRIBUCIONES LABORAL TEMPORAL,18468.01,0,18468.01,16195.14
030,160,13700,CONTRIBUCIONES A PLANES Y FONDOS DE PENSIONES,2099.5,0,2099.5,0
030,160,14300,OTRO PERSONAL,15700.15,0,15700.15,11776.42
030,160,15000,PRODUCTIVIDAD,33048.27,0,33048.27,32193.75
030,160,15100,GRATIFICACIONES,176.7,0,176.7,0
030,160,15200,OTROS INCENTIVOS AL RENDIMIENTO,19104.5,0,19104.5,3008.2
030,160,15300,COMPLEMENTO DEDICACION ESPECIAL,10874.74,0,10874.74,4211.48
030,160,16000,SEGURIDAD SOCIAL,90000,0,90000,89088.57
030,160,16103,PENSIONES EXCEPCIONALES.,1778.4,0,1778.4,0
030,160,16104,INDEMNIZACIÓN AL PERSONAL LAB. POR JUBILACIONES ANTICIPADAS.,1778.4,0,1778.4,489.7
030,160,16200,FORMACION Y PERFECCIONAMIENTO DEL PERSONAL,1937.05,0,1937.05,1741.92
030,160,16204,ACCION SOCIAL,2258.15,0,2258.15,726.47
030,160,16205,SEGUROS,1111.5,0,1111.5,1096.59
030,160,16209,OTROS GASTOS SOCIALES,356.25,0,356.25,201.56
030,160,20300,"ARRENDAMIENTO DE MAQUINARIA, INSTALACIONES Y UTILLAJE",5000,0,5000,0
030,160,20400,ARRENDAMIENTO MATERIAL DE TRANSPORTE,6000,0,6000,0
