#Clasificación,DENOMINACIÓN DE LAS APLICACIONES,Previsiones Iniciales,Modificaciones,Previsiones Definitivas,Derechos Netos
11200,DE NATURALEZA RUSTICA,18000,0,18000,14109.34
11300,DE NATURALEZA URBANA,15953000,0,15953000,16106371.99
11500,IMPUESTO SOBRE VEHICULOS TRACCION MECAN.,2500000,0,2500000,2689292.01
11600,IMPUESTO INCREMENTO VALOR TERRENOS,2950000,886037.26,3836037.26,6777291.71
13000,IMPUESTO SOBRE ACTIVIDADES ECONOMICAS,2840000,0,2840000,2330498.35
29000,"IMPTO.S/CONSTRUCCIONES, INSTALAC. Y OBRA",2720000,0,2720000,1589559.49
30100,TASA SERVICIO ALCANTARILLADO,310000,0,310000,191181.7
30200,TASA PRESTACIÓN SERVICIO RECOGIDA DE RESÍDUOS,280000,0,280000,181230.64
30900,OTRAS TASAS POR PRESTACIÓN DE SERVICIOS BÁSICOS.,0,0,0,0
31100,TASA POR PRESTACIÓN DE SERVICIOS DE PROTECCIÓN CIVIL,15000,0,15000,31000.57
31200,SERVICIOS EDUCATIVOS.,0,0,0,0
31300,TASA POR ALQUILER DE INSTALACIONES DEPORTIVAS,83500,0,83500,52577.55
31900,TASA POR ALQUILER DE INSTALACIONES CULTURALES,10000,0,10000,16340
32100,TASA LICENCIAS URBANÍSTICAS,1675000,0,1675000,1061142.82
32101,TASA LICENCIA DE APERTURA,1003000,0,1003000,369936.04
32300,TASA PRESTACIÓN SERVICIOS PLANEAMIENTO E INSPECCIÓN,500000,0,500000,3.5
32500,TASA POR EXPEDICIÓN DE DOCUMENTOS CARTOGRÁFICOS,1200,0,1200,26638.48
32900,TASA POR TENENCIA DE ANIMALES PELIGROSOS,80,0,80,185.6
32901,TASA POR CELEBRACIÓN DE MATRIMONIOS CIVILES,12000,0,12000,8630.4
32902,TASA POR PRESENTACIÓN A PRUEBAS SELECTIVAS,12000,0,12000,0
33100,TASA POR ENTRADA DE VEHÍCULOS A TRAVÉS DE LAS ACERAS,100768.04,0,100768.04,136833.48
33200,TASA OCUPACIÓN SUBSUELO Y VUELO DOMINIO PÚBLICO,588969.79,0,588969.79,459590.73
33201,"TASA OCUPACIÓN DOMINIO PÚBLICO CON POSTES, PALOMILLAS,ETC.",496727,0,496727,234741.97
33500,"TASA OCUPACIÓN DOMINIO PÚBLICO CON MESAS, SILLAS Y TERRAZAS",65000,0,65000,37176.11
33800,COMPENSACION TELEFONICA DE ESPAÑA,180000,0,180000,184417.21
33901,TASA OCUPACIÓN DOMINIO PÚBLICO CON QUIOSCOS,4200,0,4200,1299.57
33902,TASA OCUPACIÓN DOMINIO PÚBLICO CON PUESTOS - MERCADILLO,27000,0,27000,0
33903,TASA OCUPACIÓN DOMINIO PÚBLICO PUESTOS ESPORÁDICOS,80000,0,80000,2558.46
33904,"TASA POR OCUPACIÓN DOMINIO PÚBLICO CON VALLAS, ANDAMIOS,ETC",110000,0,110000,238357.31
34002,SERVICIOS HOSPITALARIOS.,0,0,0,0
34100,PRECIOS PUBLICOS USUARIOS SERVICIOS SOCIALES,126446.98,0,126446.98,62955.36
34102,SERVICIOS ASISTENCIALES.,0,0,0,0
34200,PRECIO PÚBLICO ACTIVIDADES DE JUVENTUD,12145.63,0,12145.63,-840
34201,PRECIO PÚBLICO ACTIVIDADES INFANCIA,100000,0,100000,106860.03
34202,PRECIO PÚBLICO ACTIVIDADES EXTRAESCOLARES,162000,0,162000,265630.16
34203,PRECIO PUBLICO TALLERES CULTURALES,0,0,0,155323
34204,PRECIO PÚBLICO EXCURSIONES CULTURALES,764.43,0,764.43,0
34205,PRECIO PÚBLICO SERVICIOS ESCUELA INFANTIL,220000,0,220000,247625.87
34300,PRECIO PÚBLICO ACTIVIDADES DEPORTIVAS,75000,0,75000,174897.28
34400,TASA TAQUILLAS EVENTOS CULTURALES,104000,0,104000,7031
34900,PRECIO PÚBLICO INSERCIÓN PUBLICIDAD EN REVISTA MUNICIPAL,3000,0,3000,5954.25
34901,PRECIO PÚBLICO ACTIVIDADES CENTRO DE OCIO SANTA ROSA DE LIMA,2500,0,2500,0
34902,PRECIO PÚBLICO SERVICIOS BANDA Y CORO MUNICIPAL,5534.93,0,5534.93,0
34903,OTROS PRECIOS PÚBLICOS.,0,0,0,0
380,REINTEGRO DE AVALES.,0,0,0,0
389,DE PRESUPUESTOS CERRADOS,0,0,0,31998.47
39120,MULTAS POR INFRACCIONES DE LA ORDENANZA DE CIRCULACIÓN.,91800,0,91800,178709.6
39190,OTRAS MULTAS Y SANCIONES,188880.95,0,188880.95,24794.42
39211,RECARGO DE APREMIO,125000,0,125000,221063.68
39300,INTERESES DE DEMORA,100000,0,100000,534463.82
39710,ADENDA AL CONVENIO DEL SECTOR 10,155634.5,0,155634.5,0
39711,ADDENDA AL CONVENIO DEL SECTOR 7,186487.7,0,186487.7,0
39712,CONVENIO PUNCTUM MILLENIUM,10500000,0,10500000,0
39900,OTROS INGRESOS DIVERSOS,60000,118800,178800,682340.71
39901,ANUNCIOS A CARGO DE PARTICULARES,40000,0,40000,19649.27
39902,INGRESOS GESTIÓN EXPEDIENTES DE TRÁFICO,3744,0,3744,-553
41000,APORTACION MUNICIPAL,0,0,0,0
42020,PARTICIPACION MUNICIPAL EN LOS TRIBUTOS DEL ESTADO,7537500,0,7537500,7435703.04
42091,SUBVENCIONES FORMACION PERSONAL,0,14003.33,14003.33,14003.33
45002,TRANSF. CAM CONVENIO SERVICIOS SOCIALES,594589.75,0,594589.75,594589.75
45003,TRANSFERENCIAS CAM A CONCILIACION VIDA LABORAL Y PERSONAL,51256.8,0,51256.8,44571.78
45004,TRANSF. CAM CONVENIO ERRADICACION DE VIOLENCIA DE GENERO,87217.22,0,87217.22,78559.2
45005,TRANSF. CAM PROGRAMAS SALUD PÚBLICA,13423,0,13423,16630.15
45006,TRANSFER. CAM CONVENIO VOLUNTARIADO,15000,0,15000,11538
45007,TRANSFERENCIAS COMUNIDAD DE MADRID A CONSUMO,33731,0,33731,15221.18
45008,TRANSFER. CAM CONVENIO INMIGRACIÓN,38351.34,0,38351.34,5587.42
45009,DE LA ADMINISTRACIÓN GENERAL DE LAS COMUNIDADES AUTÓNOMAS.,0,0,0,0
45030,TRANSFER. CAM ESCUELAS INFANTILES,592903.4,0,592903.4,582572.81
45031,TRANSFER. CAM FUNCIONAMIENTO ESCUELA DE ADULTOS,40995,0,40995,42990
45032,TRANSF. CAM PLAN MUNICIPAL MEJORA SERVICIOS EDUCATIVOS,145250,0,145250,98650.4
45033,"TRANSF. CAM REHABILITACIÓN, ADAPTACIÓN Y MEJORA C. EDUCATIVO",54757.71,0,54757.71,0
45034,TRANSFER. CAM CONVENIO ABSENTISMO ESCOLAR,7700,0,7700,6310.96
45050,TRANSF. CAM CORPORACIONES LOCALES,571305.25,0,571305.25,353712.33
45051,TRANSFER. CAM PROGRAMA CAPACITACIÓN PROFESIONAL,48000,0,48000,48000
45052,TRANSFER. CAM AGENTES DESARROLLO LOCAL,102774.92,0,102774.92,77680.7
45053,TRANSFERENCIAS CAM OPEAS,158000,0,158000,0
45054,TRANSFERENCIAS CAM TALLERES DE EMPLEO,330836.64,0,330836.64,138540.76
45055,TRANSFERENCIAS COMUNIDAD DE MADRID A CASAS DE OFICIOS,124625,0,124625,0
