#EJECUCIÓN GASTOS CORRIENTES EJERCICIO 2011,,,,,,,
#Org.,Prog.,Econ.,DENOMINACIÓN DE LAS APLICACIONES,Créditos Iniciales,Modificaciones,Créditos Totales,Obligaciones Reconocidas
91,011,31000,INTERESES DE PRESTAMOS Y OTRAS OPERACIONES FINANCIERAS EN ¿,900000,0,900000,547509.8
91,011,91102,AMORTIZACION PRESTAMOS A LARGO PLAZO REFUNDICION Y OTROS,675000,2800000,3475000,3224486.85
10,130,12001,SUELDOS DEL GRUPO A2,13108.32,0,13108.32,20615.75
10,130,12003,SUELDOS DEL GRUPO C1,29314.83,0,29314.83,32463.16
10,130,12004,SUELDOS DEL GRUPO C2,167788.59,0,167788.59,180475.66
10,130,12006,TRIENIOS,43609.5,0,43609.5,39625.47
10,130,12100,COMPLEMENTO DE DESTINO,139665.29,0,139665.29,123633.1
10,130,12101,COMPLEMENTO ESPECIFICO,395908.06,0,395908.06,419558.08
10,130,12103,OTROS COMPLEMENTOS,5720.64,0,5720.64,5666.44
10,130,12200,RETRIBUCIONES EN ESPECIE,1667.25,0,1667.25,590
10,130,12700,CONTRIBUCIONES A PLANES Y FONDOS DE PENSIONES,4360.5,0,4360.5,0
10,130,15000,PRODUCTIVIDAD,102300.09,0,102300.09,90002.74
10,130,15100,GRATIFICACIONES,1795.5,0,1795.5,10668.38
10,130,15200,OTROS INCENTIVOS AL RENDIMIENTO,75718.8,0,75718.8,11058.96
10,130,15300,COMPLEMENTO DEDICACION ESPECIAL,19891.24,0,19891.24,0
10,130,16000,SEGURIDAD SOCIAL,225000,0,225000,240627.23
10,130,16200,FORMACION Y PERFECCIONAMIENTO DEL PERSONAL FUNCIONARIO,1615.95,0,1615.95,0
10,130,16204,ACCION SOCIAL,3616.65,0,3616.65,8490.32
10,130,16205,SEGUROS,2000.7,0,2000.7,1973.85
10,130,16209,OTROS GASTOS SOCIALES,641.25,0,641.25,589.89
10,130,20400,ARRENDAMIENTO MATERIAL DE TRANSPORTE,75622.44,12446.59,88069.03,76878.09
10,130,20600,ARRENDAMIENTO DE EQUIPOS PARA PROCESOS DE INFORMACION,10000,0,10000,9725.94
10,130,21200,"REPARACIONES, MANTENIMIENTO Y CONSERVACION EDIFICIOS",2500,0,2500,844.64
10,130,21300,REPARACIONES MANTENIMIENTO Y CONSERVACION MAQUINARIA,3000,0,3000,372.89
10,130,21400,"REPARACIÓN, MANTENM Y CONSERVACIÓN ELEMENTOS  DE TRANSPORTE",15000,0,15000,3973.75
10,130,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,3500,0,3500,1430.45
10,130,22100,ENERGÍA ELECTRÍCA,7000,50000,57000,42834.75
10,130,22101,AGUA,1000,500,1500,568.99
10,130,22103,COMBUSTIBLE Y CARBURANTES,25000,0,25000,3648.26
10,130,22104,VESTUARIO,10000,0,10000,14078.54
10,130,22110,PRODUCTOS DE LIMPIEZA Y ASEO,1500,0,1500,212.08
10,130,22115,ÚTILES SEGURIDAD VIAL,10000,0,10000,0
10,130,22118,ÚTILES SEGURIDAD CIUDADANA,10000,0,10000,9682.94
10,130,22200,COMUNICACIONES TELEFÓNICAS,10000,0,10000,7920.26
10,130,22201,COMUNICACIONES POSTALES,5000,0,5000,7079.74
10,130,22404,SEGUROS DE ELEMENTOS DE TRANSPORTE,30000,0,30000,26428.84
10,130,22637,GASTOS DIVERSOS SEGURIDAD CIUDADANA,4000,0,4000,3734.95
10,130,22701,SEGURIDAD.,0,0,0,0
10,130,23120,LOCOMOCIÓN DEL PERSONAL NO DIRECTIVO,756,0,756,0
10,130,62700,REMODELACION CENTRO PROCESOS DATOS,0,0,0,0
10,130,63300,"INVERSION DE REPOS. MAQUINARIA,INSTALAC.TECNICAS Y UTILLAJE",8000,0,8000,3207.19
10,132,12004,SUELDOS DEL GRUPO C2,415476.56,0,415476.56,462331.76
10,132,12006,TRIENIOS,23608.43,0,23608.43,28155.96
10,132,12100,COMPLEMENTO DE DESTINO,263844.01,0,263844.01,239144.45
10,132,12101,COMPLEMENTO ESPECIFICO,672295.39,0,672295.39,775425.01
10,132,12103,OTROS COMPLEMENTOS,3174.22,0,3174.22,3052.04
10,132,12200,RETRIBUCIONES EN ESPECIE,3272.75,0,3272.75,11380
10,132,12700,CONTRIBUCIONES A PLANES Y FONDOS DE PENSIONES,8559.5,0,8559.5,0
10,132,15000,PRODUCTIVIDAD,196646.13,0,196646.13,176883.72
10,132,15100,GRATIFICACIONES,3524.5,0,3524.5,28578.92
10,132,15200,OTROS INCENTIVOS AL RENDIMIENTO,148633.2,0,148633.2,45992.72
10,132,15300,COMPLEMENTO DEDICACION ESPECIAL,101614.14,0,101614.14,5161.24
10,132,16000,SEGURIDAD SOCIAL,415000,0,415000,434486.7
10,132,16200,FORMACION Y PERFECCIONAMIENTO DEL PERSONAL FUNCIONARIO,3172.05,0,3172.05,0
