#Clasificación,DENOMINACIÓN DE LAS APLICACIONES,Previsiones Iniciales,Modificaciones,Previsiones Definitivas,Derechos Netos
11200,DE NATURALEZA RUSTICA,18000,0,18000,13904.68
11300,DE NATURALEZA URBANA,17500000,0,17500000,20471934.93
11500,IMPUESTO SOBRE VEHICULOS TRACCION MECAN.,2400000,0,2400000,2445850.17
11600,IMPUESTO INCREMENTO VALOR TERRENOS,5100000,0,5100000,5321851.13
13000,IMPUESTO SOBRE ACTIVIDADES ECONOMICAS,2696000,0,2696000,2571293.05
29000,"IMPTO.S/CONSTRUCCIONES, INSTALAC. Y OBRA",2250000,0,2250000,178111.16
30200,TASA PRESTACIÓN SERVICIO RECOGIDA DE RESÍDUOS,165000,0,165000,187728.28
31100,TASA POR PRESTACIÓN DE SERVICIOS DE PROTECCIÓN CIVIL,30000,0,30000,24141.03
31300,TASA POR ALQUILER DE INSTALACIONES DEPORTIVAS,60000,0,60000,25010.52
31900,TASA POR ALQUILER DE INSTALACIONES CULTURALES,30000,0,30000,20720
32100,TASA LICENCIAS URBANÍSTICAS,1125000,0,1125000,343845.29
32101,TASA LICENCIA DE APERTURA,500000,0,500000,267039.3
32300,TASA PRESTACIÓN SERVICIOS PLANEAMIENTO E INSPECCIÓN,300000,0,300000,141
32500,TASA POR EXPEDICIÓN DE DOCUMENTOS CARTOGRÁFICOS,25000,0,25000,24506.55
32900,TASA POR TENENCIA DE ANIMALES PELIGROSOS,100,0,100,185.6
32901,TASA POR CELEBRACIÓN DE MATRIMONIOS CIVILES,8000,0,8000,8035.2
32902,TASA POR PRESENTACIÓN A PRUEBAS SELECTIVAS,1000,0,1000,32.14
33100,TASA POR ENTRADA DE VEHÍCULOS A TRAVÉS DE LAS ACERAS,140000,0,140000,140582.85
33101,TASA POR RETIRADA VEHICULOS VIA PUBLICA,20000,0,20000,3503.73
33200,TASA OCUPACIÓN SUBSUELO Y VUELO DOMINIO PÚBLICO,400000,0,400000,466731.65
33201,"TASA OCUPACIÓN DOMINIO PÚBLICO CON POSTES, PALOMILLAS,ETC.",400000,0,400000,229198.65
33500,"TASA OCUPACIÓN DOMINIO PÚBLICO CON MESAS, SILLAS Y TERRAZAS",50000,0,50000,95107.31
33800,COMPENSACION TELEFONICA DE ESPAÑA,184417,0,184417,195776.55
33901,TASA OCUPACIÓN DOMINIO PÚBLICO CON QUIOSCOS,1500,0,1500,160.32
33902,TASA OCUPACIÓN DOMINIO PÚBLICO CON PUESTOS - MERCADILLO,25000,0,25000,27381.9
33903,TASA OCUPACIÓN DOMINIO PÚBLICO PUESTOS ESPORÁDICOS,65000,0,65000,57625.81
33904,"TASA POR OCUPACIÓN DOMINIO PÚBLICO CON VALLAS, ANDAMIOS,ETC",200000,0,200000,70581.97
34100,PRECIOS PUBLICOS USUARIOS SERVICIOS SOCIALES,50000,0,50000,55826.23
34202,PRECIO PÚBLICO ACTIVIDADES EXTRAESCOLARES,88012.15,0,88012.15,132361.22
34203,PRECIO PUBLICO ESCUELA DE MUSICA,175000,0,175000,198014.5
34205,PRECIO PÚBLICO SERVICIOS ESCUELA INFANTIL,230000,0,230000,272366.58
34300,PRECIO PÚBLICO ACTIVIDADES DEPORTIVAS,100000,0,100000,174256.6
34400,TASA TAQUILLAS EVENTOS CULTURALES,10000,0,10000,4546.39
34902,PRECIO PÚBLICO SERVICIOS BANDA Y CORO MUNICIPAL,3000,0,3000,0
389,OTROS REINTEGROS DE OPERACIONES CORRIENTES.,0,0,0,28935.25
39120,MULTAS POR INFRACCIONES DE LA ORDENANZA DE CIRCULACIÓN.,150000,0,150000,90220.86
39190,OTRAS MULTAS Y SANCIONES,50000,0,50000,16610.01
39211,RECARGO DE APREMIO,200000,0,200000,189815.88
39300,INTERESES DE DEMORA,130000,0,130000,262322.4
39900,OTROS INGRESOS DIVERSOS,100000,0,100000,135960.26
39901,ANUNCIOS A CARGO DE PARTICULARES,20000,0,20000,18603.08
