#EJECUCIÓN GASTOS CORRIENTES EJERCICIO 2012,,,,,,,
#Org.,Prog.,Econ.,DENOMINACIÓN DE LAS APLICACIONES,Créditos Iniciales,Modificaciones,Créditos Totales,Obligaciones Reconocidas
A01,150,12000,SUELDOS DEL GRUPO A1.,61854.42,-3800,58054.42,55606.48
A01,150,12006,TRIENIOS.,9030.72,-500,8530.72,8275.5
A01,150,12100,COMPLEMENTO DE DESTINO.,46318.04,-791.32,45526.72,41353.25
A01,150,12101,COMPLEMENTO ESPECÍFICO.,70143.22,0,70143.22,60960.7
A01,150,12700,CONTRIBUCION A PLANES Y FONDOS DE PENSIONES,522.08,0,522.08,351.55
A01,150,13000,RETRIBUCIONES BÁSICAS. LABORAL FIJO,51800.98,0,51800.98,49783.48
A01,150,13002,OTRAS REMUNERACIONES. LABORAL FIJO,20670.44,0,20670.44,18946.08
A01,150,13700,CONTRIBUCIONES A PLANES Y FONDOS DE PENSIONES,294.04,0,294.04,198
A01,150,15000,PRODUCTIVIDAD,25224.5,0,25224.5,23676.24
A01,150,16000,SEGURIDAD SOCIAL.,89763.84,-4500.79,85263.05,72081.66
A01,150,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL.,1346.45,-500,846.45,696.94
A01,150,16204,ACCIÓN SOCIAL.,3680.31,0,3680.31,3102.48
A01,150,16205,SEGUROS.,1256.09,0,1256.09,1279.29
A01,150,16209,OTROS GASTOS SOCIALES.,448.81,0,448.81,410.45
A01,150,20600,ARRENDAMIENTO DE EQUIPOS PARA PROCESOS DE INFORMACION,12000,0,12000,12808.67
A01,150,21200,"REPARACIONES, MANTENIMIENTO Y CONSERVACION EDIFICIOS",3000,0,3000,2516.24
A01,150,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,5000,0,5000,2511.77
A01,150,22100,SUMINISTROS: ENERGÍA ELÉCTRICA.,5300,1500,6800,6660.68
A01,150,22101,SUMINISTROS: AGUA.,5000,3591.32,8591.32,9159.09
A01,150,22102,SUMINISTROS: GAS.,2900,0,2900,2229.59
A01,150,22110,SUMINISTROS: PRODUCTOS DE LIMPIEZA Y ASEO.,2000,0,2000,0
A01,150,22200,SERVICIOS DE TELECOMUNICACIONES,9750,0,9750,4918
A01,150,22201,COMUNICACIONES POSTALES,10300,0,10300,11731.76
A01,150,22718,T.R.O.E.P.: MANTENIMIENTO ASCENSORES,2100,0,2100,2354.32
A01,150,22719,T.R.O.E.P.: MANTENIMIENTO CLIMATIZACION,8000,0,8000,6424.39
A01,165,22100,ENERGÍA ELÉCTRICA.,0,0,0,0
A01,169,12001,SUELDOS DEL GRUPO A2.,12906.52,0,12906.52,10238.65
A01,169,12006,TRIENIOS.,467.94,0,467.94,293.08
A01,169,12100,COMPLEMENTO DE DESTINO.,8160.88,0,8160.88,4705.06
A01,169,12101,COMPLEMENTO ESPECÍFICO.,13832.84,0,13832.84,8596.12
A01,169,12700,CONTRIBUCIONES A PLANES Y FONDOS DE PENSIONES,254.33,0,254.33,171.26
A01,169,13000,RETRIBUCIONES BÁSICAS LABORAL FIJO,139728.2,0,139728.2,140233.48
A01,169,13002,OTRAS REMUNERACIONES LABORAL FIJO,74838.12,0,74838.12,66761.15
A01,169,13100,RETRIBUCIONES LABORAL TEMPORAL,12281.5,-3049.85,9231.65,0
A01,169,13700,CONTRIBUCIONES A PLANES Y FONDOS DE PENSIONES,1640.71,0,1640.71,1104.8
A01,169,15000,PRODUCTIVIDAD,30616.18,0,30616.18,26495.36
A01,169,15200,OTROS INCENTIVOS AL RENDIMIENTO,2086.32,0,2086.32,10130
A01,169,15300,COMPLEMENTO DEDICACION ESPECIAL,8422.96,0,8422.96,0
A01,169,16000,SEGURIDAD SOCIAL.,94752.01,-4695.33,90056.68,76087.21
A01,169,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL.,1421.28,0,1421.28,1649.15
A01,169,16204,ACCIÓN SOCIAL.,3884.83,0,3884.83,1680.23
A01,169,16205,SEGUROS.,1326.52,0,1326.52,1351.03
A01,169,16209,OTROS GASTOS SOCIALES.,473.76,0,473.76,432.46
A01,169,20300,"ARRENDAMIENTOS DE MAQUINARIA, INSTALACIONES Y UTILLAJE",1000,0,1000,0
A01,169,21400,REPARACION MANTENIMIENTO Y CONSERVACION ELEMENTOS TRANSPORTE,2000,0,2000,0
A01,169,22103,SUMINISTROS: COMBUSTIBLE Y CARBURANTES.,20000,0,20000,4874.71
A01,169,22104,VESTUARIO.,1000,0,1000,1155.67
A01,169,22123,SUMINISTRO DE MATERIAL DE ALMACEN,3000,0,3000,0
A01,169,22404,SEGUROS ELEMENTOS DE TRANSPORTE,500,3049.85,3549.85,3279.84
A02,135,22502,TRIBUTOS AUTONOMICOS SERVICIO PREVENCION INCENDIOS,1360000,0,1360000,1360000
A02,170,13000,RETRIBUCIONES BÁSICAS LABORAL FIJO,30744.28,0,30744.28,27996.8
A02,170,13002,OTRAS REMUNERACIONES LABORAL FIJO,8512.56,0,8512.56,7904.52
A02,170,13700,CONTRIBUCIONES A PLANES Y FONDOS DE PENSIONES,257.53,0,257.53,173.41
A02,170,15000,PRODUCTIVIDAD,3920.98,0,3920.98,3640.91
A02,170,16000,SEGURIDAD SOCIAL.,12876.82,-1502.2,11374.62,10340.26
A02,170,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL.,193.15,0,193.15,586.17
A02,170,16204,ACCIÓN SOCIAL.,527.94,0,527.94,1413.1
A02,170,16205,SEGUROS.,180.27,0,180.27,183.6
A02,170,16209,OTROS GASTOS SOCIALES.,64.38,0,64.38,58.86
A02,172,12003,SUELDOS DEL GRUPO C1.,9884.84,-900,8984.84,8466.66
A02,172,12004,SUELDOS DEL GRUPO C2.,8378.58,-210,8168.58,7599.58
A02,172,12006,TRIENIOS.,1222.88,-100,1122.88,1030
A02,172,12100,COMPLEMENTO DE DESTINO.,11368.42,-50,11318.42,10492.68
