#Org.,Prog.,Econ.,DENOMINACIÓN DE LAS APLICACIONES,Créditos Iniciales,Modificaciones,Créditos Totales,Obligaciones Reconocidas
A,132,12000,SUELDOS DEL GRUPO A1,58000,0,58000,3360.45
A,132,12001,SUELDOS DEL GRUPO A2,25000,0,25000,0
A,132,12003,SUELDOS DEL GRUPO C1,79000,0,79000,4363.38
A,132,12004,SUELDOS DEL GRUPO C2,552000,0,552000,153119.23
A,132,12006,TRIENIOS,93000,0,93000,20873.18
A,132,12100,COMPLEMENTO DE DESTINO,445000,0,445000,85255.61
A,132,12101,COMPLEMENTO ESPECÍFICO,1409000,0,1409000,268039.78
A,132,12103,OTROS COMPLEMENTOS,25000,0,25000,4010
A,132,15000,PRODUCTIVIDAD,318000,0,318000,69239.52
A,132,15200,OTROS INCENTIVOS AL RENDIMIENTO,108000,0,108000,33817.12
A,132,15300,COMPLEMENTO DEDICACION ESPECIAL,28000,0,28000,0
A,132,16000,SEGURIDAD SOCIAL,905000,0,905000,195177.75
A,132,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,7000,0,7000,1454.06
A,132,16204,ACCIÓN SOCIAL,18000,0,18000,21375.87
A,132,16205,SEGUROS,8500,0,8500,3645.13
A,132,16209,OTROS GASTOS SOCIALES,7500,0,7500,5083.94
A,132,20400,ARRENDAMIENTO MATERIAL DE TRANSPORTE,30000,0,30000,1542.77
A,132,20600,ARRENDAMIENTO EQUIPOS PROCESOS DE INFORMACION,8000,0,8000,874.47
A,132,21200,REP. MANT. Y CONSERVACION EDIFICIOS,1000,0,1000,25.12
A,132,21300,REPARACIONES MANTENIMIENTO Y CONSERVACION MAQUINARIA,3000,0,3000,135.85
A,132,21400,REP. MANT. Y CONSERVACION ELEMENTOS TRANSPORTE,24000,0,24000,1768.68
A,132,22100,SUMINISTROS: ENERGÍA ELÉCTRICA,4000,0,4000,0
A,132,22101,SUMINISTROS: AGUA,1000,0,1000,345.21
A,132,22103,COMBUSTIBLES Y CARBURANTES,22000,0,22000,4951.41
A,132,22104,VESTUARIO,40000,0,40000,0
