#Econ.,DENOMINACIÓN DE LAS APLICACIONES,Previsiones Iniciales,Modificaciones,Previsiones Definitivas,Derechos Netos
11200,DE NATURALEZA RUSTICA,190000,0,190000,329450.7
11300,DE NATURALEZA URBANA,17000000,0,17000000,17288708.05
11500,IMPUESTO SOBRE VEHICULOS DE TRACCION MECANICA,1800000,0,1800000,1623249
11600,IMPUESTO SOBRE INCREMENTO VALOR TERRENOS,4000000,0,4000000,2260655.48
13000,IMPUESTO SOBRE ACTIVIDADES ECONOMICAS,2400000,0,2400000,1990312.21
29000,"IMPUESTO SOBRE CONSTRUCCIONES, INSTALACIONES Y OBRAS",800000,0,800000,667515.73
30200,TASA POR PRESTACION SERVICIO RECOGIDA DE RESIDUOS,200000,0,200000,180805.16
31100,TASA PRESTACION SERVICIO PROTECCION CIVIL,30000,0,30000,0
31300,TASA POR ALQUILER DE INSTALACIONES DEPORTIVAS,50000,0,50000,31925.73
31900,TASA POR ALQUILER DE INSTALACIONES CULTURALES,20000,0,20000,16620
32100,TASA LICENCIAS URBANÍSTICAS,700000,0,700000,536247.99
32101,TASA POR LICENCIA DE APERTURA,500000,0,500000,162483.98
32300,TASA PRESTACION SERVICIO PLANEAMIENTO E INSPECCION,1000,0,1000,166.8
32500,TASA POR EXPEDICIÓN DE DOCUMENTOS,30000,0,30000,8999.05
32600,TASA POR RETIRADA DE VEHÍCULOS.,5000,0,5000,196.2
32900,TASA TENENCIA ANIMALES PELIGROSOS,1000,0,1000,928
32901,TASA POR CELEBRACION DE MATRIMONIOS CIVILES,10000,0,10000,6481.44
33100,TASA POR ENTRADA DE VEHICULOS A TRAVÉS DE LAS ACERAS,200000,0,200000,161681.79
33200,TASA POR OCUPACION SUBSUELO Y VUELO DOMINIO PUBLICO,1000000,0,1000000,558072.42
33500,TASA POR OCUPACION DOMINIO PUBLICO MESAS Y SILLAS,100000,0,100000,60055.66
33800,COMPENSACION TELEFONICA DE ESPAÑA,200000,0,200000,149952.57
33901,TASA POR OCUPACION DOMINIO PUBLICO CON QUIOSCOS,3000,0,3000,250.8
33902,TASA POR OCUPACION DOMINIO PUBLICO PUESTOS MERCADILLO,30000,0,30000,27140.34
33903,TASA POR OCUPACION DOMINIO PUBLICO PUESTOS ESPORADICOS,60000,0,60000,61554.99
33904,"TASA POR OCUPACION DOMINIO PUBLICO CON VALLAS, ANDAMIOS, ETC",50000,0,50000,17668.87
33905,TASA POR OCUPACION VIA PUBLICA CON CAJEROS,10000,0,10000,8564.14
389,REINTEGROS DE EJERCICIOS CERRADOS,0,0,0,216529.99
34203,PRECIO PUBLICO ESCUELA DE MUSICA,240000,0,240000,157216.75
34204,PRECIO PUBLICO ACTIVIDADES CULTURALES,9000,0,9000,12235
34205,PRECIO PUBLICO SERVICIOS ESCUELA INFANTIL,268000,0,268000,173063.86
34206,PRECIO PUBLICO ACTIVIDADES DE JUVENTUD,3000,0,3000,0
34300,PRECIO PUBLICO ACTIVIDADES DEPORTIVAS,40000,0,40000,0
34400,TASA POR TAQUILLAS DE EVENTOS CULTURALES,10000,0,10000,20277.56
39120,MULTAS POR INFRACCIONES DE LA ORDENANZA DE CIRCULACIÓN,150000,0,150000,116328.2
39190,OTRAS MULTAS Y SANCIONES,25000,0,25000,133036.11
39211,RECARGO DE APREMIO,200000,0,200000,279714.91
39300,INTERESES DE DEMORA,200000,0,200000,212216.8
39800,INDEMNIZACIONES DE SEGUROS DE NO VIDA.,30000,0,30000,14349.65
39900,OTROS INGRESOS DIVERSOS,50000,0,50000,56737.69
39901,ANUNCIOS A CARGO DE PARTICULARES,20000,0,20000,13155.95
39904,INGRESOS UTE VALORIZA PLIEGO TÉCNICO,0,37163.35,37163.35,45963.35
39905,OTROS INGRESOS - AT. PINTO,0,0,0,1500
39907,INGRESOS DIVIDENDOS CANAL ISABEL II,220000,0,220000,205746.03
42000,PARTICIPACIÓN EN TRIBUTOS DEL ESTADO,9500000,0,9500000,6946416.76
42020,COMPENSACIÓN POR BENEFICIOS FISCALES,44000,0,44000,0
45002,TRANSF. CAMP CONVENIO SERVICIOS SOCIALES,390710.6,0,390710.6,522427.22
45004,TRANSF. CAM CONVENIO ERRADICACIÓN DE VIOLENCIA DE GÉNERO,98978.22,0,98978.22,76901.75
45030,TRANSFER. CAM ESCUELAS INFANTILES,336069.84,0,336069.84,413241.59
45034,TRANSFERENCIAS CAM A CONVENIO ABSENTISMO ESCOLAR,5600,0,5600,8038.17
45035,TRANSFER. CAM DEPORTES,10000,0,10000,0
45036,TRANSFERENCIAS INAP,8000,0,8000,0
45050,TRANSF CAM:PROYEC REACT.PROF.MAYOR 30 AÑOS EX RDLD/0116/17,0,124570.35,124570.35,124570.35
45051,TRANSF.CAM PROY.CUALI.PROF.MAYORES 30 AÑOS. EXP.CDLD/0074/17,0,87000,87000,87000
45052,TRANS.CAM PROY.ACTIV.PROF.MENOR 30 AÑO  EXP.GJADLD/0072/2017,0,42226.2,42226.2,42226.2
45053,TRANS.CAM PROY.CUALIF.PROF.MENOR 30 AÑO EXP.GJCDLD/0043/2017,0,39000,39000,39000
45054,TRANSF.C.MADRID PROYECTO REACTIV.PROF.MAYORES 30 AÑOS,0,194583.6,194583.6,194583.6
45055,TRANSF.C.MADRID PROYECTO CUALIF.PROF. MAYORES 30 AÑOS,0,181133.33,181133.33,181133.33
45056,TRANSF.C.MADRID PROYECTO ACTIV.PROF.MENORES 30 AÑOS,0,32430.6,32430.6,32430.6
45057,FONDOS BIBLIOGRAFICOS,0,10000,10000,10000
45059,TRANSF.C.MADRID PROYECTO CUALIF. PROF. MENOS 30 AÑOS,0,94200,94200,93099.99
45060,PLAN DE INVERSIÓN REGIONAL - PIR 2016-19,0,0,0,0
45061,TRANSFERENCIAS FUNCIONAMIENTO JUZGADO DE PAZ,2400,0,2400,2245
45062,TRANSFERENCIAS CAM BESCAM,1210000,0,1210000,705818.32
46600,TRANSFERENCIAS FEMP PROGRAMAS DE SALUD,2000,0,2000,4656.78
46601,TRANSFERENCIAS FEMP PROGRAMAS MAYORES,10000,0,10000,9780.07
52000,INTERESES EN CUENTAS CORRIENTES,200000,0,200000,491.82
54100,ARRENDAMIENTO INMUEBLES PATRIMONIALES,125000,0,125000,142946.51
55500,CONCESIONES ADMINISTRATIVAS,315000,0,315000,345310.91
61900,ENAJENACION PLAZAS APARCAMIENTO MUNICIPALES,140000,0,140000,0
83000,REINTEGRO DE ANTICIPOS CONCEDIDOS A PERSONAL,50000,0,50000,10088.39
83100,REINTEGRO DE PRESTAMOS CONCEDIDO A LARGO PLAZO,25000,0,25000,0
870,Remanente de tesorería,0,436801.52,436801.52,0
87000,Para gastos generales,0,4100742.34,4100742.34,0
91106,PRESTAMOS A L/P REFUNDICION PRESTAMOS RDL,0,0,0,0
