#Econ.,DENOMINACIÓN DE LAS APLICACIONES,Previsiones Iniciales,Modificaciones,Previsiones Definitivas,Derechos Netos
11200,DE NATURALEZA RUSTICA,190000.0,0.0,190000.0,330664.06
11300,DE NATURALEZA URBANA,17000000.0,0.0,17000000.0,17214624.69
11500,IMPUESTO SOBRE VEHICULOS DE TRACCION MECANICA,1800000.0,0.0,1800000.0,1650585.13
11600,IMPUESTO SOBRE INCREMENTO VALOR TERRENOS,4000000.0,0.0,4000000.0,1458805.45
13000,IMPUESTO SOBRE ACTIVIDADES ECONOMICAS,2400000.0,0.0,2400000.0,4645682.73
29000,"IMPUESTO SOBRE CONSTRUCCIONES, INSTALACIONES Y OBRAS",800000.0,0.0,800000.0,971489.77
30200,TASA POR PRESTACION SERVICIO RECOGIDA DE RESIDUOS,200000.0,0.0,200000.0,181779.46
31100,TASA PRESTACION SERVICIO PROTECCION CIVIL,30000.0,0.0,30000.0,0.0
31300,TASA POR ALQUILER DE INSTALACIONES DEPORTIVAS,50000.0,0.0,50000.0,46577.87
31900,TASA POR ALQUILER DE INSTALACIONES CULTURALES,20000.0,0.0,20000.0,20555.0
32100,TASA LICENCIAS URBANÍSTICAS,700000.0,0.0,700000.0,634453.23
32101,TASA POR LICENCIA DE APERTURA,500000.0,0.0,500000.0,305640.76
32300,TASA PRESTACION SERVICIO PLANEAMIENTO E INSPECCION,1000.0,0.0,1000.0,166.8
32500,TASA POR EXPEDICIÓN DE DOCUMENTOS,30000.0,0.0,30000.0,12955.53
32600,TASA POR RETIRADA DE VEHÍCULOS.,5000.0,0.0,5000.0,370.24
32900,TASA TENENCIA ANIMALES PELIGROSOS,1000.0,0.0,1000.0,1067.2
32901,TASA POR CELEBRACION DE MATRIMONIOS CIVILES,10000.0,0.0,10000.0,7614.24
33100,TASA POR ENTRADA DE VEHICULOS A TRAVÉS DE LAS ACERAS,200000.0,0.0,200000.0,161807.25
33200,TASA POR OCUPACION SUBSUELO Y VUELO DOMINIO PUBLICO,1000000.0,0.0,1000000.0,718946.92
33500,TASA POR OCUPACION DOMINIO PUBLICO MESAS Y SILLAS,100000.0,0.0,100000.0,66241.24
33800,COMPENSACION TELEFONICA DE ESPAÑA,200000.0,0.0,200000.0,180321.7
33901,TASA POR OCUPACION DOMINIO PUBLICO CON QUIOSCOS,3000.0,0.0,3000.0,250.8
33902,TASA POR OCUPACION DOMINIO PUBLICO PUESTOS MERCADILLO,30000.0,0.0,30000.0,27661.9
33903,TASA POR OCUPACION DOMINIO PUBLICO PUESTOS ESPORADICOS,60000.0,0.0,60000.0,62693.79
33904,"TASA POR OCUPACION DOMINIO PUBLICO CON VALLAS, ANDAMIOS, ETC",50000.0,0.0,50000.0,22734.42
33905,TASA POR OCUPACION VIA PUBLICA CON CAJEROS,10000.0,0.0,10000.0,8564.14
34202,PRECIO PUBLICO SERVICIO HORARIO AMPLIADO,0.0,0.0,0.0,40788.65
34203,PRECIO PUBLICO ESCUELA DE MUSICA,240000.0,0.0,240000.0,245972.54
34204,PRECIO PUBLICO ACTIVIDADES CULTURALES,9000.0,0.0,9000.0,17225.0
34205,PRECIO PUBLICO SERVICIOS ESCUELA INFANTIL,268000.0,0.0,268000.0,235761.82
34206,PRECIO PUBLICO ACTIVIDADES DE JUVENTUD,3000.0,0.0,3000.0,0.0
34300,PRECIO PUBLICO ACTIVIDADES DEPORTIVAS,40000.0,0.0,40000.0,46987.94
34400,TASA POR TAQUILLAS DE EVENTOS CULTURALES,10000.0,0.0,10000.0,34134.11
389,REINTEGROS DE EJERCICIOS CERRADOS,0.0,0.0,0.0,219346.09
39120,MULTAS POR INFRACCIONES DE LA ORDENANZA DE CIRCULACIÓN,150000.0,0.0,150000.0,171350.48
39190,OTRAS MULTAS Y SANCIONES,25000.0,0.0,25000.0,136927.01
39211,RECARGO DE APREMIO,200000.0,0.0,200000.0,410369.52
39300,INTERESES DE DEMORA,200000.0,0.0,200000.0,279482.98
39800,INDEMNIZACIONES DE SEGUROS DE NO VIDA.,30000.0,0.0,30000.0,39536.45
39900,OTROS INGRESOS DIVERSOS,50000.0,0.0,50000.0,88801.15
39901,ANUNCIOS A CARGO DE PARTICULARES,20000.0,0.0,20000.0,34475.72
39904,INGRESOS UTE VALORIZA PLIEGO TÉCNICO,0.0,37163.35,37163.35,45963.35
39905,OTROS INGRESOS - AT. PINTO,0.0,0.0,0.0,3499.98
39907,INGRESOS DIVIDENDOS CANAL ISABEL II,220000.0,0.0,220000.0,374083.14
42000,PARTICIPACIÓN EN TRIBUTOS DEL ESTADO,9500000.0,0.0,9500000.0,9306310.57
42020,COMPENSACIÓN POR BENEFICIOS FISCALES,44000.0,0.0,44000.0,0.0
42090,Otras transferencias corrientes de la Administración General,0.0,1706.66,1706.66,1706.66
45002,TRANSF. CAMP CONVENIO SERVICIOS SOCIALES,390710.6,0.0,390710.6,522427.22
45004,TRANSF. CAM CONVENIO ERRADICACIÓN DE VIOLENCIA DE GÉNERO,98978.22,0.0,98978.22,87005.9
45030,TRANSFER. CAM ESCUELAS INFANTILES,336069.84,0.0,336069.84,467992.32
45034,TRANSFERENCIAS CAM A CONVENIO ABSENTISMO ESCOLAR,5600.0,0.0,5600.0,8038.17
45035,TRANSFER. CAM DEPORTES,10000.0,0.0,10000.0,0.0
45036,TRANSFERENCIAS INAP,8000.0,0.0,8000.0,0.0
45050,TRANSF CAM:PROYEC REACT.PROF.MAYOR 30 AÑOS EX RDLD/0116/17,0.0,124570.35,124570.35,124570.35
45051,TRANSF.CAM PROY.CUALI.PROF.MAYORES 30 AÑOS. EXP.CDLD/0074/17,0.0,87000.0,87000.0,87000.0
45052,TRANS.CAM PROY.ACTIV.PROF.MENOR 30 AÑO  EXP.GJADLD/0072/2017,0.0,42226.2,42226.2,63083.7
45053,TRANS.CAM PROY.CUALIF.PROF.MENOR 30 AÑO EXP.GJCDLD/0043/2017,0.0,39000.0,39000.0,94200.0
45054,TRANSF.C.MADRID PROYECTO REACTIV.PROF.MAYORES 30 AÑOS,0.0,194583.6,194583.6,194583.6
45055,TRANSF.C.MADRID PROYECTO CUALIF.PROF. MAYORES 30 AÑOS,0.0,181133.33,181133.33,181133.33
45056,TRANSF.C.MADRID PROYECTO ACTIV.PROF.MENORES 30 AÑOS,0.0,32430.6,32430.6,32430.6
45057,FONDOS BIBLIOGRAFICOS,0.0,10000.0,10000.0,10000.0
45059,TRANSF.C.MADRID PROYECTO CUALIF. PROF. MENOS 30 AÑOS,0.0,94200.0,94200.0,93099.99
45060,PLAN DE INVERSIÓN REGIONAL - PIR 2016-19,0.0,0.0,0.0,460518.77
45061,TRANSFERENCIAS FUNCIONAMIENTO JUZGADO DE PAZ,2400.0,0.0,2400.0,2245.0
45062,TRANSFERENCIAS CAM BESCAM,1210000.0,0.0,1210000.0,1197968.06
46600,TRANSFERENCIAS FEMP PROGRAMAS DE SALUD,2000.0,0.0,2000.0,4656.78
46601,TRANSFERENCIAS FEMP PROGRAMAS MAYORES,10000.0,0.0,10000.0,9780.07
52000,INTERESES EN CUENTAS CORRIENTES,200000.0,0.0,200000.0,526.02
54100,ARRENDAMIENTO INMUEBLES PATRIMONIALES,125000.0,0.0,125000.0,168931.25
55500,CONCESIONES ADMINISTRATIVAS,315000.0,0.0,315000.0,393930.25
61100,De inversiones de carácter inmaterial- parking B. Aires nº 2,0.0,0.0,0.0,1465586.0
61900,ENAJENACION PLAZAS APARCAMIENTO MUNICIPALES,140000.0,0.0,140000.0,0.0
83000,REINTEGRO DE ANTICIPOS CONCEDIDOS A PERSONAL,50000.0,0.0,50000.0,49585.0
83100,REINTEGRO DE PRESTAMOS CONCEDIDO A LARGO PLAZO,25000.0,0.0,25000.0,24040.48
870,Remanente de tesorería,0.0,436801.52,436801.52,0.0
87000,Para gastos generales,0.0,4065348.44,4065348.44,0.0
91106,PRESTAMOS A L/P REFUNDICION PRESTAMOS RDL,0.0,0.0,0.0,0.0
#,,43327758.66,5346164.05,48673922.71,46208310.34
