#Org.,Prog.,Econ.,DENOMINACIÓN DE LAS APLICACIONES,Créditos Iniciales,Modificaciones,Créditos Totales,Obligaciones Reconocidas
A,132.0,12000.0,SUELDOS DEL GRUPO A1,58000.0,-25800.0,32200.0,17776.5
A,132.0,12001.0,SUELDOS DEL GRUPO A2,25000.0,0.0,25000.0,0.0
A,132.0,12003.0,SUELDOS DEL GRUPO C1,79000.0,0.0,79000.0,30596.09
A,132.0,12004.0,SUELDOS DEL GRUPO C2,552000.0,0.0,552000.0,644847.04
A,132.0,12006.0,TRIENIOS,93000.0,0.0,93000.0,99012.78
A,132.0,12100.0,COMPLEMENTO DE DESTINO,445000.0,-32851.0,412149.0,338307.02
A,132.0,12101.0,COMPLEMENTO ESPECÍFICO,1409000.0,-145000.0,1264000.0,1257595.63
A,132.0,12103.0,OTROS COMPLEMENTOS,25000.0,0.0,25000.0,16910.0
A,132.0,15000.0,PRODUCTIVIDAD,318000.0,0.0,318000.0,313308.18
A,132.0,15200.0,OTROS INCENTIVOS AL RENDIMIENTO,108000.0,0.0,108000.0,150704.0
A,132.0,15300.0,COMPLEMENTO DEDICACION ESPECIAL,28000.0,0.0,28000.0,30088.67
A,132.0,16000.0,SEGURIDAD SOCIAL,905000.0,-187000.0,718000.0,727096.18
A,132.0,16200.0,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,7000.0,0.0,7000.0,6459.65
A,132.0,16204.0,ACCIÓN SOCIAL,18000.0,0.0,18000.0,30181.43
A,132.0,16205.0,SEGUROS,8500.0,0.0,8500.0,7290.26
A,132.0,16209.0,OTROS GASTOS SOCIALES,7500.0,0.0,7500.0,10768.62
A,132.0,20400.0,ARRENDAMIENTO MATERIAL DE TRANSPORTE,30000.0,0.0,30000.0,18513.24
A,132.0,20600.0,ARRENDAMIENTO EQUIPOS PROCESOS DE INFORMACION,8000.0,0.0,8000.0,5211.24
A,132.0,21200.0,REP. MANT. Y CONSERVACION EDIFICIOS,1000.0,0.0,1000.0,947.27
A,132.0,21300.0,REPARACIONES MANTENIMIENTO Y CONSERVACION MAQUINARIA,3000.0,0.0,3000.0,485.49
A,132.0,21400.0,REP. MANT. Y CONSERVACION ELEMENTOS TRANSPORTE,24000.0,0.0,24000.0,18889.46
A,132.0,22100.0,SUMINISTROS: ENERGÍA ELÉCTRICA,4000.0,0.0,4000.0,0.0
