#Eco.,Descripción,Previsiones Iniciales
11200,DE NATURALEZA RUSTICA,275000
11300,DE NATURALEZA URBANA,17540000
11500,IMPUESTO SOBRE VEHICULOS DE TRACCION MECANICA,1900000
11600,IMPUESTO SOBRE INCREMENTO VALOR TERRENOS,4900000
13000,IMPUESTO SOBRE ACTIVIDADES ECONOMICAS,3750000
29000,"IMPUESTO SOBRE CONSTRUCCIONES, INSTALACIONES Y OBRAS",1548000
30200,TASA POR PRESTACION SERVICIO RECOGIDA DE RESIDUOS,210000
31100,SERVICIO DE TELEASISTENCIA,13000
31201,SERVICIO DE HORARIO AMPLIDO Y ACTIV. EXTRAESCOLARES,150000
31202,SERVICIO ESCUELA DE MUSICA,225000
31203,SERVICIO ESCUELA INFANTIL MUNICIPAL,150000
31204,SERVICIO DE LUDOTECA Y PEQUETECA,50000
31205,SERVICIO CAMPAMENTO URBANO,130000
31300,TASA POR ALQUILER DE INSTALACIONES DEPORTIVAS,75000
31900,TASA POR ALQUILER DE INSTALACIONES CULTURALES,30000
32100,TASA LICENCIAS URBANÍSTICAS,850000
32101,TASA POR LICENCIA DE APERTURA,300000
32300,TASA PRESTACION SERVICIO PLANEAMIENTO E INSPECCION,50000
32500,TASA POR EXPEDICIÓN DE DOCUMENTOS,20000
32501,TASA POR GESTIONES TRAFICO,5000
32502,DERECHOS DE EXAMEN,90000
32600,TASA POR RETIRADA DE VEHÍCULOS.,5000
32900,TASA TENENCIA ANIMALES PELIGROSOS,1000
32901,TASA POR CELEBRACION DE MATRIMONIOS CIVILES,20000
33100,TASA POR ENTRADA DE VEHICULOS A TRAVÉS DE LAS ACERAS,200000
33200,TASA POR OCUPACION SUBSUELO Y VUELO DOMINIO PUBLICO,800000
33800,COMPENSACION TELEFONICA DE ESPAÑA,250000
33901,TASA POR OCUPACION DOMINIO PUBLICO CON QUIOSCOS,2000
33904,"TASA POR OCUPACION DOMINIO PUBLICO CON VALLAS, ANDAMIOS, ETC",60000
33905,TASA POR OCUPACION VIA PUBLICA CON CAJEROS,10000
33906,TASA PARKING AUTOCARAVANAS,40000
33907,TASA TAQUILLAS EVENTOS,95000
34900,ENTRADAS TORRE EBOLI,10000
34901,SERVICIOS CULTURALES,20000
34902,ACTIVIDADES JUVENTUD,5000
38900,REINTEGROS DE EJERCICIOS CERRADOS,0
39120,MULTAS POR INFRACCIONES DE LA ORDENANZA DE CIRCULACIÓN,500000
39190,OTRAS MULTAS Y SANCIONES,150000
39211,RECARGO DE APREMIO,350000
39300,INTERESES DE DEMORA,250000
39800,INDEMNIZACIONES DE SEGUROS DE NO VIDA.,35000
39900,OTROS INGRESOS DIVERSOS,400000
39901,ANUNCIOS A CARGO DE PARTICULARES,5000
39904,INGRESOS UTE VALORIZA PLIEGO TÉCNICO,57000
39905,OTROS INGRESOS - AT. PINTO,5000
42000,PARTICIPACIÓN EN TRIBUTOS DEL ESTADO,14800000
42030,TRANSFERENCIA ESTADO EMERGENCIA FILOMENA,400000
42090,PACTO CONTRA VIOLENCIA DE GENERO,26000
42200,TRANSF. FEMP PROGRAMAS SALUD,6000
42201,TRANSF. FEMP PROGRAMAS MAYORES,13000
45001,TRANSFERENCIAS JUZGADO PAZ,3000
45002,TRANSFERENCIAS CONVENIO S. SOCIALES,468286.43
45003,TRANSFERENCIAS CAM SERV. SOCIALES COVID 19,0
45004,TRANSF. CAM CONVENIO ERRADICACIÓN DE VIOLENCIA DE GÉNERO,140000
45030,TRANSFER. CAM ESCUELAS INFANTILES,1043555.7
45031,TRANSFERENCIAS CAM CONVENIO ABSENTISMO ESCOLAR,8000
45053,TRANS.CAM CURSO FORMACION OPERACIONES DE GRAB.Y TRAT.DATOS,39456
45055,TRANS.CAM CURSO FORMACION TECNICO EN SOFTWARE INFORMATICO,53607.6
45056,TRANS.CAM CURSO FORMACION INGLES GESTION COMECIAL,30342.6
45057,TRANS.CAM CURSO FORMAC.ATENCION SOCIOSANIT. A PERSONAS DEPEN,42672
45058,TRANSF.C.MADRID CUALIF.MAYOR 30 AÑOS CDLD/0041/2021,102400
45059,TRANSF.C.MADRID REACTIV.  PROF. MAYOR 30 AÑOS RDLD/0086/2021,224492.5
45060,PLAN DE INVERSIÓN REGIONAL - PIR 2016-2019,200000
45061,TRANSFERENCIASCAM BESCAM,1313150
45062,TRANS.C.MADRID ACTIV. MENOR 30 AÑOS EXP GJADLD/0016/2021,117270
45063,TRANSF. C. MADRID  CUALIF. MENOR 30 EXPTE GJCDLD/0015/2021,124200
45064,"TRANSF, CAM CURSO SERVICIOS BIBLIOTECARIOS",51201
45065,TRANSF. CAM CURSOS ORGANIZACION Y GESTION DE ALMACENES,36522
45066,TRANSF. CAM CURSO PROMOCION TURISTICA,66019.5
45067,TRANSF. CAM CURSO INGLES GESTION,30342.6
45080,TRANSFERENCIASCAM DEPORTES,15000
45082,TRANSFERENCIAS CAM FONDOS BIBLIOGRAFICOS,40000
45083,TRANSF. CAM  A CULTURA,27000
45084,TRANSFERENCIA CAM ACCIONES FORMATIVAS JUVENTUD,6500
45085,CONVENIO CORRESPONSABILIDAD,330000
49700,SUBVENCION AGENDA URBANA,200000
53410,INGRESOS DIVIDENDOS CANAL ISABEL II,235000
54100,ARRENDAMIENTO INMUEBLES PATRIMONIALES,135000
54101,ARRENDAMIENTOS PLAZAS DE GARAJE,55000
54102,INGRESOS CONSUMO VIVIENDAS MUNICIPALES,30000
55000,CONCESIONES ADMINISTRATIVAS,325000
79701,SUBVENCION FONDOS EUROPEOS INFORMATICA,198374.55
79702,SUBVENCION COMERCIO SOSTENIBLE,272232.6
83000,REINTEGRO DE ANTICIPOS CONCEDIDOS A PERSONAL,50000
83100,REINTEGRO DE PRESTAMOS CONCEDIDO A LARGO PLAZO,25000
83101,REINTEGRO DE PRESTAMOS CONCEDIDO A LA IGLESIA,65217.39
87000,Para gastos generales,0
87010,Para gastos con financiación afectada,0
91106,PRESTAMOS A L/P REFUNDICION PRESTAMOS RDL,0
