#Org.,Pro.,Eco.,Descripción,Créditos Iniciales
A01,151,12000,SUELDOS DEL GRUPO A1,81964.5
A01,151,12006,TRIENIOS,10010.7
A01,151,12100,COMPLEMENTO DE DESTINO,63364
A01,151,12101,COMPLEMENTO ESPECÍFICO,98566.3
A01,151,13000,RETRIBUCIONES BÁSICAS,21156.14
A01,151,13002,OTRAS REMUNERACIONES,6119.54
A01,151,14300,OTRO PERSONAL,8536.59
A01,151,15000,PRODUCTIVIDAD,26511.24
A01,151,15200,OTROS INCENTIVOS AL RENDIMIENTO,927.04
A01,151,16000,SEGURIDAD SOCIAL,93613.15
A01,151,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,418.18
A01,151,16204,ACCIÓN SOCIAL,2281.12
A01,151,16205,SEGUROS,424.38
A01,151,22710,ESTUDIOS Y TRABAJOS TECNICOS DE URBANISMO,40000
B01,912,10000,RETRIBUCIONES BÁSICAS,817999.98
B01,912,11000,RETRIBUCIONES PERSONAL EVENTUAL,455000
B01,912,13000,RETRIBUCIONES BÁSICAS,35239.12
B01,912,13002,OTRAS REMUNERACIONES,17698.94
B01,912,14300,OTRO PERSONAL,2845.53
B01,912,15000,PRODUCTIVIDAD,12364.54
B01,912,15200,OTROS INCENTIVOS AL RENDIMIENTO,309.01
B01,912,15300,COMPLEMENTO DEDICACION ESPECIAL,4181.52
B01,912,16000,SEGURIDAD SOCIAL,449303.16
B01,912,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,640.64
B01,912,16204,ACCIÓN SOCIAL,760.37
B01,912,16205,SEGUROS,2631.17
B01,912,22003,MATERIAL NO INVENTARIABLE,40000
B01,912,22601,ATENCIONES PROTOCOLARIAS Y REPRESENTATIVAS,35000
B01,912,22606,"REUNIONES, CONFERENCIAS",15000
B01,912,22610,ACTOS INSTITUCIONALES,40000
B01,912,22641,CUOTAS PARTICIPACION  ORGANOS SUPRAMUNICIPALES,15000
B01,912,22690,GASTOS DIVERSOS,50000
B01,912,22737,CONTRATOS PRESIDENCIA,15000
B01,912,23301,INDEMNIZACIONES POR ASISTENCIAS A ORGANOS MPALES,60000
B01,912,48000,TRANSFERENCIAS GRUPOS MPALES,65000
B02,920,12000,SUELDOS DEL GRUPO A1,81964.5
B02,920,12001,SUELDOS DEL GRUPO A2,28830.04
B02,920,12003,SUELDOS DEL GRUPO C1,55202
B02,920,12006,TRIENIOS,25418.58
B02,920,12100,COMPLEMENTO DE DESTINO,120869.28
B02,920,12101,COMPLEMENTO ESPECÍFICO,209090.84
B02,920,13000,RETRIBUCIONES BÁSICAS,300169.39
B02,920,13002,OTRAS REMUNERACIONES,119246.96
B02,920,14300,OTRO PERSONAL,44105.69
B02,920,15000,PRODUCTIVIDAD,110262.92
B02,920,15200,OTROS INCENTIVOS AL RENDIMIENTO,21445.92
B02,920,15300,COMPLEMENTO DEDICACION ESPECIAL,5170.92
