#Econ.,DENOMINACIÓN DE LAS APLICACIONES,Previsiones Iniciales,Modificaciones,Previsiones Definitivas,Derechos Netos
11200,DE NATURALEZA RUSTICA,15000,0,15000,190587.06
11300,DE NATURALEZA URBANA,17500000,0,17500000,17001239.78
11500,IMPUESTO SOBRE VEHICULOS DE TRACCION MECANICA,1800000,0,1800000,1538963.41
11600,IMPUESTO SOBRE INCREMENTO VALOR TERRENOS,4000000,0,4000000,5316171.79
13000,IMPUESTO SOBRE ACTIVIDADES ECONOMICAS,2400000,0,2400000,2245136.97
29000,"IMPUESTO SOBRE CONSTRUCCIONES, INSTALACIONES Y OBRAS",800000,0,800000,1891205.45
30200,TASA POR PRESTACION SERVICIO RECOGIDA DE RESIDUOS,200000,0,200000,182920.19
31100,TASA PRESTACION SERVICIO PROTECCION CIVIL,30000,0,30000,216.95
31300,TASA POR ALQUILER DE INSTALACIONES DEPORTIVAS,50000,0,50000,44086.28
31900,TASA POR ALQUILER DE INSTALACIONES CULTURALES,20000,0,20000,20345.7
32100,TASA LICENCIAS URBANÍSTICAS,700000,0,700000,599237.73
32101,TASA POR LICENCIA DE APERTURA,500000,0,500000,161955.55
32300,TASA PRESTACION SERVICIO PLANEAMIENTO E INSPECCION,1000,0,1000,0
32500,TASA POR EXPEDICIÓN DE DOCUMENTOS,30000,0,30000,15332.21
32600,TASA POR RETIRADA DE VEHÍCULOS.,5000,0,5000,1129.2
32900,TASA TENENCIA ANIMALES PELIGROSOS,1000,0,1000,672.8
32901,TASA POR CELEBRACION DE MATRIMONIOS CIVILES,10000,0,10000,8665.18
33100,TASA POR ENTRADA DE VEHICULOS A TRAVÉS DE LAS ACERAS,200000,0,200000,145946.67
33200,TASA POR OCUPACION SUBSUELO Y VUELO DOMINIO PUBLICO,1000000,0,1000000,656687.23
33500,TASA POR OCUPACION DOMINIO PUBLICO MESAS Y SILLAS,100000,0,100000,92379.24
33800,COMPENSACION TELEFONICA DE ESPAÑA,200000,0,200000,199426.32
33901,TASA POR OCUPACION DOMINIO PUBLICO CON QUIOSCOS,3000,0,3000,1970.28
33902,TASA POR OCUPACION DOMINIO PUBLICO PUESTOS MERCADILLO,30000,0,30000,26494.74
33903,TASA POR OCUPACION DOMINIO PUBLICO PUESTOS ESPORADICOS,60000,0,60000,47821.04
33904,"TASA POR OCUPACION DOMINIO PUBLICO CON VALLAS, ANDAMIOS, ETC",50000,0,50000,27086.94
33905,TASA POR OCUPACION VIA PUBLICA CON CAJEROS,0,0,0,9500.88
34203,PRECIO PUBLICO ESCUELA DE MUSICA,240000,0,240000,256565.13
34204,PRECIO PUBLICO ACTIVIDADES CULTURALES,9000,0,9000,21027.33
34205,PRECIO PUBLICO SERVICIOS ESCUELA INFANTIL,268000,0,268000,256443.49
34206,PRECIO PUBLICO ACTIVIDADES DE JUVENTUD,3000,0,3000,4125.15
34300,PRECIO PUBLICO ACTIVIDADES DEPORTIVAS,40000,0,40000,2938.14
34400,TASA POR TAQUILLAS DE EVENTOS CULTURALES,10000,0,10000,42620.59
389,REINTEGROS DE EJERCICIOS CERRADOS,0,0,0,35276.11
39120,MULTAS POR INFRACCIONES DE LA ORDENANZA DE CIRCULACIÓN,150000,0,150000,121857.69
