#Clasificación,DENOMINACIÓN DE LAS APLICACIONES,Previsiones Iniciales,Modificaciones,Previsiones Definitivas,Derechos Netos
11200,DE NATURALEZA RUSTICA,14000,0,14000,14999.95
11300,DE NATURALEZA URBANA,24000000,0,24000000,22898571.33
11500,IMPUESTO SOBRE VEHICULOS DE TRACCION MECANICA,2400000,0,2400000,2262611.78
11600,IMPUESTO INCREMENTO VALOR TERRENOS,6000000,0,6000000,5325835.14
13000,IMPUESTO SOBRE ACTIVIDADES ECONOMICAS,2700000,0,2700000,2334447.08
29000,"IMPTO.S/CONSTRUCCIONES, INSTALAC. Y OBRA",1200000,0,1200000,444348.95
30200,TASA PRESTACIÓN SERVICIO RECOGIDA DE RESÍDUOS,200000,0,200000,195222.52
31100,TASA PRESTACION SERVICIO PROTECCION CIVIL,30000,0,30000,130444.91
31300,TASA POR ALQUILER DE INSTALACIONES DEPORTIVAS,25000,0,25000,58473.33
31900,TASA POR ALQUILER DE INSTALACIONES CULTURALES,20000,0,20000,14475
32100,TASA LICENCIAS URBANÍSTICAS,600000,0,600000,224140.28
32101,TASA POR LICENCIA DE APERTURA,500000,0,500000,315865.35
32300,TASA PRESTACIÓN SERVICIOS PLANEAMIENTO E INSPECCIÓN,1000,0,1000,0
32500,TASA POR EXPEDICIÓN DE DOCUMENTOS,25000,0,25000,23286.74
32600,TASA POR RETIRADA DE VEHÍCULOS.,10000,0,10000,1373.4
32900,TASA POR TENENCIA DE ANIMALES PELIGROSOS,1000,0,1000,278.4
32901,TASA POR CELEBRACION DE MATRIMONIOS CIVILES,8000,0,8000,7142.4
33100,TASA POR ENTRADA DE VEHÍCULOS A TRAVÉS DE LAS ACERAS,150000,0,150000,141380.67
33200,TASA POR OCUPACION SUBSUELO Y VUELO DOMINIO PUBLICO,400000,0,400000,649542.69
33201,"TASA OCUPACIÓN DOMINIO PÚBLICO CON POSTES, PALOMILLAS,ETC.",500000,0,500000,141306.76
33500,"TASA OCUPACIÓN DOMINIO PÚBLICO CON MESAS, SILLAS Y TERRAZAS",100000,0,100000,83442.2
33800,COMPENSACION TELEFONICA DE ESPAÑA,200000,0,200000,139691.9
33901,TASA OCUPACIÓN DOMINIO PÚBLICO CON QUIOSCOS,2000,0,2000,2659.05
33902,TASA POR OCUPACION DOMINIO PUBLICO PUESTOS MERCADILLO,25000,0,25000,28069.92
33903,TASA OCUPACIÓN DOMINIO PÚBLICO PUESTOS ESPORÁDICOS,60000,0,60000,64569.76
33904,"TASA POR OCUPACIÓN DOMINIO PÚBLICO CON VALLAS, ANDAMIOS,ETC",100000,0,100000,39406.21
34100,PRECIO PUBLICO USUARIOS SERVICIOS SOCIALES,50000,0,50000,34047.27
34202,PRECIO PÚBLICO ACTIVIDADES EXTRAESCOLARES,10000,0,10000,43
34203,PRECIO PUBLICO ESCUELA DE MUSICA,250000,0,250000,252339.08
34204,PRECIO PUBLICO ACTIVIDADES CULTURALES,0,0,0,2463
34205,PRECIO PÚBLICO SERVICIOS ESCUELA INFANTIL,250000,0,250000,273109.69
34206,PRECIO PUBLICO ACTIVIDADES DE JUVENTUD,0,0,0,4305
34300,PRECIO PÚBLICO ACTIVIDADES DEPORTIVAS,200000,0,200000,108800.07
34400,TASA POR TAQUILLAS DE EVENTOS CULTURALES,10000,0,10000,1868.23
34902,PRECIO PÚBLICO SERVICIOS BANDA Y CORO MUNICIPAL,2000,0,2000,0
389,OTROS REINTEGROS DE OPERACIONES CORRIENTES.,0,0,0,231142.34
39120,MULTAS POR INFRACCIONES DE LA ORDENANZA DE CIRCULACIÓN.,100000,0,100000,77440.2
39190,OTRAS MULTAS Y SANCIONES,25000,0,25000,34360.88
39211,RECARGO DE APREMIO,300000,0,300000,235383.2
39300,INTERESES DE DEMORA,250000,0,250000,104252.57
39800,INDEMNIZACIONES DE SEGUROS DE NO VIDA.,20000,0,20000,1180.65
39900,OTROS INGRESOS DIVERSOS,50000,0,50000,18581.77
39901,ANUNCIOS A CARGO DE PARTICULARES,20000,0,20000,13688.65
39903,INGRESOS SOSTENIBILIDAD DE BIENES Y EQUIPAMIENTOS CULTURALES,20000,0,20000,0
42000,PARTICIPACIÓN EN LOS TRIBUTOS DEL ESTADO.,7800000,0,7800000,8122299.21
42020,COMPENSACIÓN POR BENEFICIOS FISCALES.,40000,0,40000,0
45002,TRANSF. CAM CONVENIO SERVICIOS SOCIALES,350000,0,350000,354149.45
45004,TRANSF. CAM CONVENIO ERRADICACION DE VIOLENCIA DE GENERO,100000,0,100000,15526.94
45007,TRANSFERENCIAS COMUNIDAD DE MADRID A CONSUMO,12000,0,12000,300
45030,TRANSFER. CAM ESCUELAS INFANTILES,540000,0,540000,267359.86
45031,TRANSFER. CAM FUNCIONAMIENTO ESCUELA DE ADULTOS,15000,0,15000,0
45032,TRANSF. CAM  ACTIVIDADES EXTRAESCOLARES,70000,0,70000,52304
45034,TRANSFER. CAM CONVENIO ABSENTISMO ESCOLAR,6000,0,6000,5306.1
45035,TRANSFER. CAM DEPORTES,0,0,0,7898
45036,TRANSFERENCIAS INAP,0,0,0,4606
45051,TRANSFER. CAM PROGRAMA CAPACITACIÓN PROFESIONAL,50000,0,50000,150496.23
45061,TRANSFER. JUZGADO DE PAZ,4000,0,4000,3306
45062,TRANSFER. CAM BESCAM,1300000,0,1300000,923005.28
45088,TRANSFERENCIAS CAM ESCUELA DE MÚSICA,45000,0,45000,0
52000,INTERESES EN CUENTAS CORRIENTES,20000,0,20000,328071.75
54100,ARRENDAMIENTOS INMUEBLES PATRIMONIALES,50000,0,50000,3623.3
55100,CONVENIO CANAL ISABEL II,700000,0,700000,828856.66
55500,CONCESIONES ADMINISTRATIVAS,270000,0,270000,308545.94
60000,ENAJENACION PARCELA MUNICIPAL,50000,0,50000,0
60300,ENAJENACION INVERSION VIVIENDAS,1745000,0,1745000,363120.57
61900,ENAJENACION PLAZAS APARCAMIENTO MUNICIPALES,150000,0,150000,0
72000,TRANSFERENCIAS DE CAPITAL OBRAS PLAN ESTATAL,0,0,0,0
83000,REINTEGRO DE ANTICIPOS CONCEDIDOS A PERSONAL,30000,0,30000,30991.67
83100,REINTEGRO PRÉSTAMO CONCEDIDO A LARGO PLAZO,25000,0,25000,24040.48
91105,PRESTAMO RDL 8/2013,0,0,0,3714752.82
91106,PRESTAMOS A L/P REAL DECRETO 4/2012,0,0,0,0
91107,PRÉSTAMOS RECIBIDO AL AMPARO RDL 4/2013,0,0,0,283915.15
#,,54200000,0,54200000,52727066.73
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
