#Eco.,Descripción,Previsiones Iniciales,Total Modificaciones,Previsiones totales,Derechos Reconocidos Netos
11200,DE NATURALEZA RUSTICA,275000,0,275000,199486.52
11300,DE NATURALEZA URBANA,17240000,0,17240000,16941723.96
11500,IMPUESTO SOBRE VEHICULOS DE TRACCION MECANICA,1850000,0,1850000,1835331.69
11600,IMPUESTO SOBRE INCREMENTO VALOR TERRENOS,5610000,0,5610000,5255270.06
13000,IMPUESTO SOBRE ACTIVIDADES ECONOMICAS,3600000,0,3600000,3025789.54
29000,"IMPUESTO SOBRE CONSTRUCCIONES, INSTALACIONES Y OBRAS",1300000,0,1300000,306861.88
30200,TASA POR PRESTACION SERVICIO RECOGIDA DE RESIDUOS,210000,0,210000,179967.97
31100,SERVICIO DE TELEASISTENCIA,13000,0,13000,14099.8
31201,SERVICIO DE HORARIO AMPLIDO Y ACTIV. EXTRAESCOLARES,230000,0,230000,149176.17
31202,SERVICIO ESCUELA DE MUSICA,225000,0,225000,206377.22
31203,SERVICIO ESCUELA INFANTIL MUNICIPAL,200000,0,200000,114048.87
31204,SERVICIO DE LUDOTECA Y PEQUETECA,200000,0,200000,30682.33
31205,SERVICIO CAMPAMENTO URBANO,130000,0,130000,94856
31300,TASA POR ALQUILER DE INSTALACIONES DEPORTIVAS,50000,0,50000,65095.16
31900,TASA POR ALQUILER DE INSTALACIONES CULTURALES,30000,0,30000,19477
32100,TASA LICENCIAS URBANÍSTICAS,850000,0,850000,600910.75
32101,TASA POR LICENCIA DE APERTURA,500000,0,500000,103005.35
32300,TASA PRESTACION SERVICIO PLANEAMIENTO E INSPECCION,100000,0,100000,30036.95
32500,TASA POR EXPEDICIÓN DE DOCUMENTOS,15000,0,15000,9581
32501,TASA POR GESTIONES TRAFICO,5000,0,5000,1646.64
32502,DERECHOS DE EXAMEN,90000,0,90000,3134.05
32600,TASA POR RETIRADA DE VEHÍCULOS.,5000,0,5000,0
32900,TASA TENENCIA ANIMALES PELIGROSOS,1000,0,1000,580
32901,TASA POR CELEBRACION DE MATRIMONIOS CIVILES,10000,0,10000,3386.32
33100,TASA POR ENTRADA DE VEHICULOS A TRAVÉS DE LAS ACERAS,200000,0,200000,190197.8
