#a,Org.,Pro.,Eco.,Descripción,f,g,h,Créditos Iniciales
,A01,151,12000,SUELDOS DEL GRUPO A1,,,,80357.37
,A01,151,12006,TRIENIOS,,,,9160.43
,A01,151,12100,COMPLEMENTO DE DESTINO,,,,62121.63
,A01,151,12101,COMPLEMENTO ESPECÍFICO,,,,96634.02
,A01,151,13000,RETRIBUCIONES BÁSICAS,,,,20470.61
,A01,151,13002,OTRAS REMUNERACIONES,,,,5999.56
,A01,151,14300,OTRO PERSONAL,,,,6934.43
,A01,151,15000,PRODUCTIVIDAD,,,,25991.84
,A01,151,15200,OTROS INCENTIVOS AL RENDIMIENTO,,,,939.13
,A01,151,16000,SEGURIDAD SOCIAL,,,,91822.04
,A01,151,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,,,,410.06
,A01,151,16204,ACCIÓN SOCIAL,,,,1880.34
,A01,151,16205,SEGUROS,,,,275.38
,A01,151,22710,ELABORACION NUEVO P.G.O.U.,,,,250000
,B01,912,10000,RETRIBUCIONES BÁSICAS,,,,817999.98
,B01,912,11000,RETRIBUCIONES PERSONAL EVENTUAL,,,,455000
,B01,912,13000,RETRIBUCIONES BÁSICAS,,,,34592.23
,B01,912,13002,OTRAS REMUNERACIONES,,,,17352.16
,B01,912,14300,OTRO PERSONAL,,,,2311.48
,B01,912,15000,PRODUCTIVIDAD,,,,12122.2
,B01,912,15200,OTROS INCENTIVOS AL RENDIMIENTO,,,,313.04
,B01,912,15300,COMPLEMENTO DEDICACION ESPECIAL,,,,4099.56
,B01,912,16000,SEGURIDAD SOCIAL,,,,448179.13
,B01,912,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,,,,628.18
,B01,912,16204,ACCIÓN SOCIAL,,,,626.78
,B01,912,16205,SEGUROS,,,,2065.33
,B01,912,22003,MATERIAL NO INVENTARIABLE,,,,40000
,B01,912,22601,ATENCIONES PROTOCOLARIAS Y REPRESENTATIVAS,,,,25000
,B01,912,22606,"REUNIONES, CONFERENCIAS",,,,45000
,B01,912,22610,ACTOS INSTITUCIONALES,,,,40000
,B01,912,22641,CUOTAS PARTICIPACION  ORGANOS SUPRAMUNICIPALES,,,,40000
,B01,912,22690,GASTOS DIVERSOS,,,,35000
,B01,912,22737,CONTRATOS PRESIDENCIA,,,,15000
,B01,912,23301,INDEMNIZACIONES POR ASISTENCIAS A ORGANOS MPALES,,,,60000
,B01,912,48000,TRANSFERENCIAS GRUPOS MPALES,,,,65000
,B02,920,12000,SUELDOS DEL GRUPO A1,,,,80357.37
,B02,920,12001,SUELDOS DEL GRUPO A2,,,,28264.67
,B02,920,12003,SUELDOS DEL GRUPO C1,,,,32471.78
,B02,920,12006,TRIENIOS,,,,24275.17
,B02,920,12100,COMPLEMENTO DE DESTINO,,,,105017.49
,B02,920,12101,COMPLEMENTO ESPECÍFICO,,,,192992.66
,B02,920,13000,RETRIBUCIONES BÁSICAS,,,,292762.48
,B02,920,13002,OTRAS REMUNERACIONES,,,,116910.22
,B02,920,14300,OTRO PERSONAL,,,,33516.39
,B02,920,15000,PRODUCTIVIDAD,,,,102180.36
,B02,920,15200,OTROS INCENTIVOS AL RENDIMIENTO,,,,20869.15
,B02,920,15300,COMPLEMENTO DEDICACION ESPECIAL,,,,5069.64
,B02,920,16000,SEGURIDAD SOCIAL,,,,314612.15
,B02,920,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,,,,2246.58
,B02,920,16204,ACCIÓN SOCIAL,,,,9088.32
,B02,920,16205,SEGUROS,,,,1445.73
,B02,920,20200,ALQUILER EDIFICIO ASERPINTO,,,,105574.92
,B02,920,20500,ARRENDAMIENTO DE MOBILIARIO Y ENSERES,,,,50000
,B02,920,20600,ARRENDAMIENTO EQUIPOS PROCESOS DE INFORMACION,,,,38000
,B02,920,21200,REP. MANT. Y CONSERVACION EDIFICIOS,,,,50000
,B02,920,22000,ORDINARIO NO INVENTARIABLE,,,,60000
,B02,920,22100,SUMINISTROS. ENERGÍA ELÉCTRICA,,,,60000
,B02,920,22101,SUMINISTROS: AGUA,,,,10000
,B02,920,22200,SERVICIOS DE TELECOMUNICACIONES,,,,33000
,B02,920,22201,POSTALES,,,,70000
,B02,920,22603,PUBLICACIÓN EN DIARIOS OFICIALES,,,,40000
,B02,920,22604,"JURÍDICOS, CONTENCIOSOS",,,,175000
,B02,920,22690,GASTOS DIVERSOS,,,,30000
,B02,920,22700,CONTRATOS TRABAJOS EXTRAORDINARIOS NEVADA,,,,0
,B02,920,22718,MANTENIMIENTO ASCENSORES,,,,10000
,B02,920,22719,MANTENIMIENTO CLIMATIZACION,,,,30000
,B02,920,22740,CONTRATO PREVENCION RIESGOS LABORALES CON COORDINACION,,,,38000
,B02,920,22742,FORMACION PERSONAL,,,,35000
,B02,920,22762,CONTRATO PLANES DE EMERGENCIA,,,,44000
,B02,920,22763,CONTRATO COORDINACION ACTIVIDADES EMPRESARIALES,,,,40000
,B02,920,44900,SUBV PERDIDAS GESTION SERVICIOS PUBLICOS- ASERPINTO,,,,7000000
,B02,920,62500,INVERSION NUEVA EN  MOBILIARIO,,,,100000
,B02,920,62503,INVERSION EN MATERIAL INVENTARIABLE,,,,100000
