#Eco.,Descripción,Previsiones Iniciales
11200,DE NATURALEZA RUSTICA,275000
11300,DE NATURALEZA URBANA,17240000
11500,IMPUESTO SOBRE VEHICULOS DE TRACCION MECANICA,1850000
11600,IMPUESTO SOBRE INCREMENTO VALOR TERRENOS,5610000
13000,IMPUESTO SOBRE ACTIVIDADES ECONOMICAS,3600000
29000,"IMPUESTO SOBRE CONSTRUCCIONES, INSTALACIONES Y OBRAS",1300000
30200,TASA POR PRESTACION SERVICIO RECOGIDA DE RESIDUOS,210000
31100,SERVICIO DE TELEASISTENCIA,13000
31201,SERVICIO DE HORARIO AMPLIDO Y ACTIV. EXTRAESCOLARES,230000
31202,SERVICIO ESCUELA DE MUSICA,225000
31203,SERVICIO ESCUELA INFANTIL MUNICIPAL,200000
31204,SERVICIO DE LUDOTECA Y PEQUETECA,200000
31205,SERVICIO CAMPAMENTO URBANO,130000
31300,TASA POR ALQUILER DE INSTALACIONES DEPORTIVAS,50000
31900,TASA POR ALQUILER DE INSTALACIONES CULTURALES,30000
32100,TASA LICENCIAS URBANÍSTICAS,850000
32101,TASA POR LICENCIA DE APERTURA,500000
32300,TASA PRESTACION SERVICIO PLANEAMIENTO E INSPECCION,100000
32500,TASA POR EXPEDICIÓN DE DOCUMENTOS,15000
32501,TASA POR GESTIONES TRAFICO,5000
32502,DERECHOS DE EXAMEN,90000
32600,TASA POR RETIRADA DE VEHÍCULOS.,5000
32900,TASA TENENCIA ANIMALES PELIGROSOS,1000
32901,TASA POR CELEBRACION DE MATRIMONIOS CIVILES,10000
33100,TASA POR ENTRADA DE VEHICULOS A TRAVÉS DE LAS ACERAS,200000
33200,TASA POR OCUPACION SUBSUELO Y VUELO DOMINIO PUBLICO,800000
33800,COMPENSACION TELEFONICA DE ESPAÑA,200000
33901,TASA POR OCUPACION DOMINIO PUBLICO CON QUIOSCOS,2000
33904,"TASA POR OCUPACION DOMINIO PUBLICO CON VALLAS, ANDAMIOS, ETC",125000
33905,TASA POR OCUPACION VIA PUBLICA CON CAJEROS,10000
33906,TASA PARKING AUTOCARAVANAS,25000
33907,TASA TAQUILLAS EVENTOS,45000
34900,ENTRADAS TORRE EBOLI,5000
34901,SERVICIOS CULTURALES,20000
34902,ACTIVIDADES JUVENTUD,5000
38900,REINTEGROS DE EJERCICIOS CERRADOS,0
39120,MULTAS POR INFRACCIONES DE LA ORDENANZA DE CIRCULACIÓN,400000
39190,OTRAS MULTAS Y SANCIONES,100000
39211,RECARGO DE APREMIO,350000
39300,INTERESES DE DEMORA,200000
39800,INDEMNIZACIONES DE SEGUROS DE NO VIDA.,10000
39900,OTROS INGRESOS DIVERSOS,200000
39901,ANUNCIOS A CARGO DE PARTICULARES,10000
39902,INGRESOS EFICIENCIA ENERGÉTICA,10000
39904,INGRESOS UTE VALORIZA PLIEGO TÉCNICO,57000
39905,OTROS INGRESOS - AT. PINTO,5000
42000,PARTICIPACIÓN EN TRIBUTOS DEL ESTADO,12175000
