#Org.,Pro.,Eco.,Descripción,Créditos Iniciales,Modificaciones de Crédito,Créditos Totales consignados,Obligaciones Reconocidas
A01,151,12000,SUELDOS DEL GRUPO A1,80357.37,0,80357.37,37769.58
A01,151,12006,TRIENIOS,9160.43,0,9160.43,6685.28
A01,151,12100,COMPLEMENTO DE DESTINO,62121.63,0,62121.63,29150.4
A01,151,12101,COMPLEMENTO ESPECÍFICO,96634.02,0,96634.02,48121.33
A01,151,13000,RETRIBUCIONES BÁSICAS,20470.61,0,20470.61,36218.81
A01,151,13002,OTRAS REMUNERACIONES,5999.56,0,5999.56,6788.96
A01,151,14300,OTRO PERSONAL,6934.43,0,6934.43,0
A01,151,15000,PRODUCTIVIDAD,25991.84,0,25991.84,16493.16
A01,151,15200,OTROS INCENTIVOS AL RENDIMIENTO,939.13,0,939.13,2979.88
A01,151,16000,SEGURIDAD SOCIAL,91822.04,0,91822.04,57701.94
A01,151,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,410.06,0,410.06,230.01
A01,151,16204,ACCIÓN SOCIAL,1880.34,0,1880.34,1633.58
A01,151,16205,SEGUROS,275.38,0,275.38,174.28
A01,151,22710,ELABORACION NUEVO P.G.O.U.,250000,0,250000,12100
B01,912,10000,RETRIBUCIONES BÁSICAS,817999.98,0,817999.98,772144.35
B01,912,11000,RETRIBUCIONES PERSONAL EVENTUAL,455000,0,455000,374853.9
B01,912,13000,RETRIBUCIONES BÁSICAS,34592.23,0,34592.23,28344.39
B01,912,13002,OTRAS REMUNERACIONES,17352.16,0,17352.16,13611.96
B01,912,14300,OTRO PERSONAL,2311.48,0,2311.48,0
B01,912,15000,PRODUCTIVIDAD,12122.2,0,12122.2,9279.71
B01,912,15200,OTROS INCENTIVOS AL RENDIMIENTO,313.04,0,313.04,0
B01,912,15300,COMPLEMENTO DEDICACION ESPECIAL,4099.56,0,4099.56,3068.59
B01,912,16000,SEGURIDAD SOCIAL,448179.13,0,448179.13,366305.12
B01,912,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,628.18,0,628.18,492.68
B01,912,16204,ACCIÓN SOCIAL,626.78,0,626.78,0
B01,912,16205,SEGUROS,2065.33,0,2065.33,1306.41
B01,912,22003,MATERIAL NO INVENTARIABLE,40000,0,40000,6396.06
B01,912,22601,ATENCIONES PROTOCOLARIAS Y REPRESENTATIVAS,25000,0,25000,24361.41
B01,912,22606,"REUNIONES, CONFERENCIAS",45000,0,45000,900
B01,912,22610,ACTOS INSTITUCIONALES,40000,0,40000,6803
B01,912,22641,CUOTAS PARTICIPACION  ORGANOS SUPRAMUNICIPALES,40000,0,40000,7327.21
B01,912,22690,GASTOS DIVERSOS,35000,0,35000,0
B01,912,22737,CONTRATOS PRESIDENCIA,15000,0,15000,0
B01,912,23301,INDEMNIZACIONES POR ASISTENCIAS A ORGANOS MPALES,60000,0,60000,56050
B01,912,48000,TRANSFERENCIAS GRUPOS MPALES,65000,0,65000,64872
B02,920,12000,SUELDOS DEL GRUPO A1,80357.37,0,80357.37,57545.6
B02,920,12001,SUELDOS DEL GRUPO A2,28264.67,0,28264.67,48908.51
B02,920,12003,SUELDOS DEL GRUPO C1,32471.78,0,32471.78,23860.83
B02,920,12006,TRIENIOS,24275.17,0,24275.17,21660.68
B02,920,12100,COMPLEMENTO DE DESTINO,105017.49,0,105017.49,74888.49
B02,920,12101,COMPLEMENTO ESPECÍFICO,192992.66,0,192992.66,149009.97
B02,920,13000,RETRIBUCIONES BÁSICAS,292762.48,0,292762.48,399208.12
B02,920,13002,OTRAS REMUNERACIONES,116910.22,0,116910.22,135427.69
B02,920,14300,OTRO PERSONAL,33516.39,0,33516.39,23858.61
B02,920,15000,PRODUCTIVIDAD,102180.36,0,102180.36,115567.21
B02,920,15200,OTROS INCENTIVOS AL RENDIMIENTO,20869.15,0,20869.15,31434.96
B02,920,15300,COMPLEMENTO DEDICACION ESPECIAL,5069.64,0,5069.64,3794.71
B02,920,16000,SEGURIDAD SOCIAL,314612.15,0,314612.15,329378.48
B02,920,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,2246.58,0,2246.58,2516.89
B02,920,16204,ACCIÓN SOCIAL,9088.32,0,9088.32,6950.51
B02,920,16205,SEGUROS,1445.73,0,1445.73,3317.59
B02,920,20200,ALQUILER EDIFICIO ASERPINTO,105574.92,0,105574.92,105574.92
B02,920,20500,ARRENDAMIENTO DE MOBILIARIO Y ENSERES,50000,0,50000,14938.31
B02,920,20600,ARRENDAMIENTO EQUIPOS PROCESOS DE INFORMACION,38000,0,38000,38000
B02,920,21200,REP. MANT. Y CONSERVACION EDIFICIOS,50000,0,50000,4742.55
B02,920,22000,ORDINARIO NO INVENTARIABLE,60000,0,60000,56540.3
B02,920,22100,SUMINISTROS. ENERGÍA ELÉCTRICA,60000,0,60000,59977.43
B02,920,22101,SUMINISTROS: AGUA,10000,0,10000,9795.95
B02,920,22200,SERVICIOS DE TELECOMUNICACIONES,33000,0,33000,39401.97
B02,920,22201,POSTALES,70000,0,70000,49770.47
B02,920,22603,PUBLICACIÓN EN DIARIOS OFICIALES,40000,0,40000,41288.86
B02,920,22604,"JURÍDICOS, CONTENCIOSOS",175000,0,175000,53531.27
B02,920,22690,GASTOS DIVERSOS,30000,0,30000,33071.65
B02,920,22700,CONTRATOS TRABAJOS EXTRAORDINARIOS NEVADA,0,310411.53,310411.53,288670.03
B02,920,22718,MANTENIMIENTO ASCENSORES,10000,0,10000,15220.92
B02,920,22719,MANTENIMIENTO CLIMATIZACION,30000,0,30000,13988.81
B02,920,22740,CONTRATO PREVENCION RIESGOS LABORALES CON COORDINACION,38000,0,38000,31372.25
B02,920,22742,FORMACION PERSONAL,35000,0,35000,18208.91
B02,920,22762,CONTRATO PLANES DE EMERGENCIA,44000,0,44000,3509
B02,920,22763,CONTRATO COORDINACION ACTIVIDADES EMPRESARIALES,40000,0,40000,0
B02,920,44900,SUBV PERDIDAS GESTION SERVICIOS PUBLICOS- ASERPINTO,7000000,440389.46,7440389.46,7440389.46
B02,920,62500,INVERSION NUEVA EN  MOBILIARIO,100000,0,100000,38870.4
B02,920,62503,INVERSION EN MATERIAL INVENTARIABLE,100000,0,100000,75649.26
B02,920,62600,MATERIAL INFORMATICO,15000,0,15000,0
B02,920,74000,TRANSFERENCIA DE CAPITAL ASERPINTO,700000,0,700000,700000
B02,920,83000,PRESTAMOS C/P AL PERSONAL,50000,0,50000,35500
B02,925,13000,RETRIBUCIONES BÁSICAS,121183.11,0,121183.11,100465.12
B02,925,13002,OTRAS REMUNERACIONES,44224.88,0,44224.88,29135.35
B02,925,14300,OTRO PERSONAL,8090.16,0,8090.16,33147.44
B02,925,15000,PRODUCTIVIDAD,18680.9,0,18680.9,13616.35
B02,925,15200,OTROS INCENTIVOS AL RENDIMIENTO,17743.61,0,17743.61,8587.03
B02,925,16000,SEGURIDAD SOCIAL,71694.05,0,71694.05,45053.31
B02,925,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,440.86,0,440.86,262.49
B02,925,16204,ACCIÓN SOCIAL,4452,0,4452,2617.18
B02,925,16205,SEGUROS,481.91,0,481.91,305.34
B03,491,13000,RETRIBUCIONES BÁSICAS,91047.9,0,91047.9,72016.35
B03,491,13002,OTRAS REMUNERACIONES,13816.04,0,13816.04,18015.6
B03,491,14300,OTRO PERSONAL,4622.95,0,4622.95,0
B03,491,15000,PRODUCTIVIDAD,20749.56,0,20749.56,19511.84
B03,491,15200,OTROS INCENTIVOS AL RENDIMIENTO,626.09,0,626.09,786.97
B03,491,16000,SEGURIDAD SOCIAL,44245.31,0,44245.31,59151.19
B03,491,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,615.02,0,615.02,722.77
B03,491,16204,ACCIÓN SOCIAL,1253.56,0,1253.56,215.53
B03,491,16205,SEGUROS,137.69,0,137.69,488.33
