#a,Org.,Pro.,Eco.,Descripción,f,g,h,Créditos Iniciales,Modificaciones de Crédito,Créditos Totales consignados,Obligaciones Reconocidas
,A,132,12000,SUELDOS DEL GRUPO A1,,,,58000,0,58000,16190.18
,A,132,12001,SUELDOS DEL GRUPO A2,,,,25000,0,25000,0
,A,132,12003,SUELDOS DEL GRUPO C1,,,,79000,0,79000,32225.7
,A,132,12004,SUELDOS DEL GRUPO C2,,,,552000,0,552000,856392.33
,A,132,12006,TRIENIOS,,,,93000,0,93000,116686.71
,A,132,12100,COMPLEMENTO DE DESTINO,,,,445000,0,445000,413585.83
,A,132,12101,COMPLEMENTO ESPECÍFICO,,,,1409000,0,1409000,1297067.38
,A,132,12103,OTROS COMPLEMENTOS,,,,25000,0,25000,7990
,A,132,15000,PRODUCTIVIDAD,,,,318000,0,318000,289561.33
,A,132,15200,OTROS INCENTIVOS AL RENDIMIENTO,,,,108000,0,108000,148755.49
,A,132,15300,COMPLEMENTO DEDICACION ESPECIAL,,,,28000,0,28000,31350.8
,A,132,16000,SEGURIDAD SOCIAL,,,,905000,0,905000,738826.11
,A,132,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,,,,7000,0,7000,6271.72
,A,132,16204,ACCIÓN SOCIAL,,,,18000,0,18000,22700.61
,A,132,16205,SEGUROS,,,,8500,0,8500,6579.56
,A,132,16209,OTROS GASTOS SOCIALES,,,,7500,0,7500,4936.28
,A,132,20400,ARRENDAMIENTO MATERIAL DE TRANSPORTE,,,,30000,14265.72,44265.72,29597.88
,A,132,20600,ARRENDAMIENTO EQUIPOS PROCESOS DE INFORMACION,,,,8000,-3000,5000,4378.6
,A,132,21200,REP. MANT. Y CONSERVACION EDIFICIOS,,,,1000,0,1000,181.08
,A,132,21300,REPARACIONES MANTENIMIENTO Y CONSERVACION MAQUINARIA,,,,3000,0,3000,0
,A,132,21400,REP. MANT. Y CONSERVACION ELEMENTOS TRANSPORTE,,,,24000,0,24000,24000
,A,132,22100,SUMINISTROS: ENERGÍA ELÉCTRICA,,,,4000,-3900,100,0
,A,132,22101,SUMINISTROS: AGUA,,,,1000,0,1000,807.35
,A,132,22103,COMBUSTIBLES Y CARBURANTES,,,,22000,0,22000,12950.26
,A,132,22104,VESTUARIO,,,,40000,-20000,20000,0
,A,132,22115,UTILES SEGURIDAD VIAL,,,,18000,-10000,8000,7881.68
,A,132,22118,UTILES,,,,6000,-2618.05,3381.95,3381.95
,A,132,22122,EQUIPOS DE PROTECCION POLICIA,,,,0,20000,20000,0
,A,132,22200,SERVICIOS DE TELECOMUNICACIONES,,,,10000,0,10000,8828.09
,A,132,22201,POSTALES,,,,7000,0,7000,7802.15
,A,132,22637,GASTOS DIVERSOS SEGURIDAD CIUDADANA,,,,14000,-1647.67,12352.33,3802.01
,A,132,22715,CONTRATOS SERVICIO RETIRADA VEHICULOS VIA PUBLICA,,,,12000,0,12000,2650.41
,A,132,22719,MANTENIMIENTO CLIMATIZACION,,,,5000,0,5000,4252.83
,A,132,23120,DEL PERSONAL NO DIRECTIVO,,,,1000,0,1000,0
,A,132,45320,APORTACION AL CONSORCIO DE TRANSPORTES,,,,75033.65,-51000,24033.65,23890.14
,A,132,62400,ADQUISICION VEHICULOS POLICIA LOCAL,,,,0,108818.45,108818.45,108818.45
,A,132,63400,INVERSION DE REPOSICION EN ELEMENTOS DE TRANSPORTE,,,,10000,-3000,7000,0
,A,135,13000,RETRIBUCIONES BÁSICAS,,,,170000,0,170000,200153.4
,A,135,13002,OTRAS REMUNERACIONES,,,,13000,0,13000,13575.21
,A,135,15000,PRODUCTIVIDAD,,,,123000,0,123000,204024
,A,135,16000,SEGURIDAD SOCIAL,,,,94000,0,94000,78446
,A,135,16204,ACCIÓN SOCIAL,,,,5000,0,5000,961.05
,A,135,16205,SEGUROS,,,,500,0,500,425.27
,A,135,16209,OTROS GASTOS SOCIALES,,,,800,0,800,500.72
,A,135,20400,ARRENDAMIENTO MATERIAL DE TRANSPORTE,,,,12500,16394.8,28894.8,26486.9
,A,135,21400,REP. MANT. Y CONSERVACION ELEMENTOS TRANSPORTE,,,,10000,0,10000,3055.14
,A,135,22103,COMBUSTIBLES Y CARBURANTES,,,,4000,0,4000,0
,A,135,22104,VESTUARIO PERSONAL PIMER,,,,10000,-6963.64,3036.36,0
,A,135,22111,"SUMINISTROS DE REPUESTOS MAQUINARIA, UTILLAJE Y ELEM.TPTE.",,,,6500,-1536.36,4963.64,4963.64
,A,135,22118,UTILES,,,,18000,-10000,8000,7211.6
,A,135,22502,TRIBUTOS AUTONÓMICOS SERVICIO PREVENCIÓN EXTINCIÓN INCENDIOS,,,,1500000,109872.57,1609872.57,1609872.57
,A,135,22690,GASTOS DIVERSOS,,,,10700,-7894.8,2805.2,2394.64
,A,231,14302,RETRIBUCIONES PERSONAL AREA MUJER- COVID 19,,,,0,11411.7,11411.7,11791.48
,A,231,14306,RETRIBUCIONES PERSONAL COVID 19,,,,0,93977.42,93977.42,94780.58
,A,231,16000,SEGURIDAD SOCIAL COVID 19,,,,0,33559.21,33559.21,11765.06
