#Eco.,Descripción,Previsiones Iniciales,Total Modificaciones,Previsiones totales,Derechos Reconocidos Netos
11200,DE NATURALEZA RUSTICA,330000,0,330000,195094.77
11300,DE NATURALEZA URBANA,16117000,0,16117000,16870001.04
11500,IMPUESTO SOBRE VEHICULOS DE TRACCION MECANICA,1800000,0,1800000,1818160.71
11600,IMPUESTO SOBRE INCREMENTO VALOR TERRENOS,2000000,0,2000000,5273480.54
13000,IMPUESTO SOBRE ACTIVIDADES ECONOMICAS,2400000,0,2400000,3352269.92
29000,"IMPUESTO SOBRE CONSTRUCCIONES, INSTALACIONES Y OBRAS",1100000,0,1100000,488272.73
30200,TASA POR PRESTACION SERVICIO RECOGIDA DE RESIDUOS,200000,0,200000,181925.66
31300,TASA POR ALQUILER DE INSTALACIONES DEPORTIVAS,50000,0,50000,37459
31900,TASA POR ALQUILER DE INSTALACIONES CULTURALES,20000,0,20000,13002.4
32100,TASA LICENCIAS URBANÍSTICAS,700000,0,700000,577756.03
32101,TASA POR LICENCIA DE APERTURA,500000,0,500000,237834.36
32500,TASA POR EXPEDICIÓN DE DOCUMENTOS,30000,0,30000,7496.36
32501,TASA POR GESTIONES TRAFICO,3000,0,3000,1241.9
32600,TASA POR RETIRADA DE VEHÍCULOS.,5000,0,5000,0
32900,TASA TENENCIA ANIMALES PELIGROSOS,1000,0,1000,1229.6
32901,TASA POR CELEBRACION DE MATRIMONIOS CIVILES,10000,0,10000,3503.92
33100,TASA POR ENTRADA DE VEHICULOS A TRAVÉS DE LAS ACERAS,200000,0,200000,187672.42
33200,TASA POR OCUPACION SUBSUELO Y VUELO DOMINIO PUBLICO,1000000,0,1000000,594680.21
33500,TASA POR OCUPACION DOMINIO PUBLICO MESAS Y SILLAS,100000,0,100000,7271.84
33800,COMPENSACION TELEFONICA DE ESPAÑA,200000,0,200000,163110.56
33901,TASA POR OCUPACION DOMINIO PUBLICO CON QUIOSCOS,3000,0,3000,0
33902,TASA POR OCUPACION DOMINIO PUBLICO PUESTOS MERCADILLO,30000,0,30000,20573.62
33903,TASA POR OCUPACION DOMINIO PUBLICO PUESTOS ESPORADICOS,65000,0,65000,1270.04
33904,"TASA POR OCUPACION DOMINIO PUBLICO CON VALLAS, ANDAMIOS, ETC",50000,0,50000,106395.57
33905,TASA POR OCUPACION VIA PUBLICA CON CAJEROS,10000,0,10000,6655.98
33906,TASA PARKING AUTOCARAVANAS,10000,0,10000,10418.46
