#CLASIFICACIÓN,DENOMINACIÓN DE LAS APLICACIONES,Previsiones Iniciales
11200,DE NATURALEZA RUSTICA,330000
11300,DE NATURALEZA URBANA,15700000
11500,IMPUESTO SOBRE VEHICULOS DE TRACCION MECANICA,1800000
11600,IMPUESTO SOBRE INCREMENTO VALOR TERRENOS,2000000
13000,IMPUESTO SOBRE ACTIVIDADES ECONOMICAS,2400000
29000,"IMPUESTO SOBRE CONSTRUCCIONES, INSTALACIONES Y OBRAS",1000000
30200,TASA POR PRESTACION SERVICIO RECOGIDA DE RESIDUOS,200000
31300,TASA POR ALQUILER DE INSTALACIONES DEPORTIVAS,50000
31900,TASA POR ALQUILER DE INSTALACIONES CULTURALES,20000
32100,TASA LICENCIAS URBANÍSTICAS,700000
32101,TASA POR LICENCIA DE APERTURA,500000
32500,TASA POR EXPEDICIÓN DE DOCUMENTOS,30000
32600,TASA POR RETIRADA DE VEHÍCULOS.,5000
32900,TASA TENENCIA ANIMALES PELIGROSOS,1000
32901,TASA POR CELEBRACION DE MATRIMONIOS CIVILES,10000
33100,TASA POR ENTRADA DE VEHICULOS A TRAVÉS DE LAS ACERAS,200000
33200,TASA POR OCUPACION SUBSUELO Y VUELO DOMINIO PUBLICO,1000000
33500,TASA POR OCUPACION DOMINIO PUBLICO MESAS Y SILLAS,100000
33800,COMPENSACION TELEFONICA DE ESPAÑA,200000
33901,TASA POR OCUPACION DOMINIO PUBLICO CON QUIOSCOS,3000
33902,TASA POR OCUPACION DOMINIO PUBLICO PUESTOS MERCADILLO,30000
33903,TASA POR OCUPACION DOMINIO PUBLICO PUESTOS ESPORADICOS,65000
33904,"TASA POR OCUPACION DOMINIO PUBLICO CON VALLAS, ANDAMIOS, ETC",50000
33905,TASA POR OCUPACION VIA PUBLICA CON CAJEROS,10000
34202,PRECIO PUBLICO SERVICIO HORARIO AMPLIADO,200000
34203,PRECIO PUBLICO ESCUELA DE MUSICA,240000
34204,PRECIO PUBLICO ACTIVIDADES CULTURALES,20000
34205,PRECIO PUBLICO SERVICIOS ESCUELA INFANTIL,237000
34206,PRECIO PUBLICO ACTIVIDADES DE JUVENTUD,3000
34300,PRECIO PUBLICO ACTIVIDADES DEPORTIVAS,200000
34400,TASA POR TAQUILLAS DE EVENTOS CULTURALES,35000
389,REINTEGROS DE EJERCICIOS CERRADOS,
39120,MULTAS POR INFRACCIONES DE LA ORDENANZA DE CIRCULACIÓN,160000
39190,OTRAS MULTAS Y SANCIONES,25000
39211,RECARGO DE APREMIO,300000
39300,INTERESES DE DEMORA,220000
39800,INDEMNIZACIONES DE SEGUROS DE NO VIDA.,30000
39900,OTROS INGRESOS DIVERSOS,75000
39901,ANUNCIOS A CARGO DE PARTICULARES,20000
39902,INGRESOS EFICIENCIA ENERGÉTICA,15000
39905,OTROS INGRESOS - AT. PINTO,3500
39907,INGRESOS DIVIDENDOS CANAL ISABEL II,220000
42000,PARTICIPACIÓN EN TRIBUTOS DEL ESTADO,9500000
42020,COMPENSACIÓN POR BENEFICIOS FISCALES,44000
45002,TRANSF. CAMP CONVENIO SERVICIOS SOCIALES,445987.08
45004,TRANSF. CAM CONVENIO ERRADICACIÓN DE VIOLENCIA DE GÉNERO,98978.22
45030,TRANSFER. CAM ESCUELAS INFANTILES,419592.91
45034,TRANSFERENCIAS CAM A CONVENIO ABSENTISMO ESCOLAR,8038.47
45035,TRANSFER. CAM DEPORTES,10000
45036,TRANSFERENCIAS INAP,8000
45050,TRANSF CAM:PROYEC REACT.PROF.MAYOR 30 AÑOS EX RDLD/0116/17,
45051,TRANSF.CAM PROY.CUAL.PROF.MAYORES 30 AÑOS. EXP.CDLD/0074/17,
45061,TRANSFERENCIAS FUNCIONAMIENTO JUZGADO DE PAZ,2400
45062,TRANSFERENCIAS CAM BESCAM,1210000
45070,TRANSFERENCIAS PRISMA GASTO CORRIENTE,880000
46600,TRANSFERENCIAS FEMP PROGRAMAS DE SALUD,2000
46601,TRANSFERENCIAS FEMP PROGRAMAS MAYORES,10000
52000,INTERESES EN CUENTAS CORRIENTES,10000
54100,ARRENDAMIENTO INMUEBLES PATRIMONIALES,125000
55500,CONCESIONES ADMINISTRATIVAS,315000
60000,INGRESOS CONVENIO GEINSOL,140000
83000,REINTEGRO DE ANTICIPOS CONCEDIDOS A PERSONAL,50000
83100,REINTEGRO DE PRESTAMOS CONCEDIDO A LARGO PLAZO,25000
91106,PRESTAMOS A L/P REFUNDICION PRESTAMOS RDL,
#,,41711496.68
