#Clasificación,DENOMINACIÓN DE LAS APLICACIONES,Previsiones Iniciales,Modificaciones,Previsiones Definitivas,Derechos Netos,g
11200,DE NATURALEZA RUSTICA,330000,0,330000,254898.16,
11300,DE NATURALEZA URBANA,15700000,0,15700000,16017614.03,
11500,IMPUESTO SOBRE VEHICULOS DE TRACCION MECANICA,1800000,0,1800000,1734457.26,
11600,IMPUESTO SOBRE INCREMENTO VALOR TERRENOS,2000000,0,2000000,250575.65,
13000,IMPUESTO SOBRE ACTIVIDADES ECONOMICAS,2400000,0,2400000,2840377.69,
29000,"IMPUESTO SOBRE CONSTRUCCIONES, INSTALACIONES Y OBRAS",1000000,0,1000000,2292140.64,
30200,TASA POR PRESTACION SERVICIO RECOGIDA DE RESIDUOS,200000,0,200000,182437.98,
31300,TASA POR ALQUILER DE INSTALACIONES DEPORTIVAS,50000,0,50000,45513.43,
31900,TASA POR ALQUILER DE INSTALACIONES CULTURALES,20000,0,20000,18885.23,
32100,TASA LICENCIAS URBANÍSTICAS,700000,0,700000,1362211.39,
32101,TASA POR LICENCIA DE APERTURA,500000,0,500000,421333.59,
32500,TASA POR EXPEDICIÓN DE DOCUMENTOS,30000,0,30000,16167.8,
32501,TASA POR GESTIONES TRAFICO,0,0,0,2410,
32600,TASA POR RETIRADA DE VEHÍCULOS.,5000,0,5000,43.32,
32900,TASA TENENCIA ANIMALES PELIGROSOS,1000,0,1000,812,
32901,TASA POR CELEBRACION DE MATRIMONIOS CIVILES,10000,0,10000,7545.02,
33100,TASA POR ENTRADA DE VEHICULOS A TRAVÉS DE LAS ACERAS,200000,0,200000,169308.24,
33200,TASA POR OCUPACION SUBSUELO Y VUELO DOMINIO PUBLICO,1000000,0,1000000,665818.3,
33500,TASA POR OCUPACION DOMINIO PUBLICO MESAS Y SILLAS,100000,0,100000,106604.9,
33800,COMPENSACION TELEFONICA DE ESPAÑA,200000,0,200000,230346.61,
33901,TASA POR OCUPACION DOMINIO PUBLICO CON QUIOSCOS,3000,0,3000,2985.84,
33902,TASA POR OCUPACION DOMINIO PUBLICO PUESTOS MERCADILLO,30000,0,30000,26534.38,
33903,TASA POR OCUPACION DOMINIO PUBLICO PUESTOS ESPORADICOS,65000,0,65000,52247.85,
33904,"TASA POR OCUPACION DOMINIO PUBLICO CON VALLAS, ANDAMIOS, ETC",50000,0,50000,29153.58,
33905,TASA POR OCUPACION VIA PUBLICA CON CAJEROS,10000,0,10000,8968.93,
33906,TASA PARKING AUTOCARAVANAS,0,0,0,9320.82,
