#a,Org.,Pro.,Eco.,Descripción,f,g,h,Créditos Iniciales,Modificaciones de Crédito,Créditos Totales consignados,Obligaciones Reconocidas
,A,132,12000,SUELDOS DEL GRUPO A1,,,,58000,0,58000,15626.99
,A,132,12001,SUELDOS DEL GRUPO A2,,,,25000,0,25000,0
,A,132,12003,SUELDOS DEL GRUPO C1,,,,79000,0,79000,33560.43
,A,132,12004,SUELDOS DEL GRUPO C2,,,,552000,0,552000,821144.56
,A,132,12006,TRIENIOS,,,,93000,0,93000,112442.77
,A,132,12100,COMPLEMENTO DE DESTINO,,,,445000,0,445000,369920.84
,A,132,12101,COMPLEMENTO ESPECÍFICO,,,,1409000,0,1409000,1307612.09
,A,132,12103,OTROS COMPLEMENTOS,,,,25000,0,25000,15290
,A,132,15000,PRODUCTIVIDAD,,,,318000,0,318000,336103.32
,A,132,15200,OTROS INCENTIVOS AL RENDIMIENTO,,,,108000,0,108000,209517.08
,A,132,15300,COMPLEMENTO DEDICACION ESPECIAL,,,,28000,0,28000,32068.95
,A,132,16000,SEGURIDAD SOCIAL,,,,905000,0,905000,722473.58
,A,132,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,,,,7000,0,7000,7679.26
,A,132,16204,ACCIÓN SOCIAL,,,,18000,0,18000,26074.23
,A,132,16205,SEGUROS,,,,8500,0,8500,6850.76
,A,132,16209,OTROS GASTOS SOCIALES,,,,7500,0,7500,7845.74
,A,132,20400,ARRENDAMIENTO MATERIAL DE TRANSPORTE,,,,30000,0,30000,17561.67
,A,132,20600,ARRENDAMIENTO EQUIPOS PROCESOS DE INFORMACION,,,,8000,-4158.05,3841.95,3483.99
,A,132,21200,REP. MANT. Y CONSERVACION EDIFICIOS,,,,1000,0,1000,565.21
,A,132,21300,REPARACIONES MANTENIMIENTO Y CONSERVACION MAQUINARIA,,,,3000,0,3000,0
,A,132,21400,REP. MANT. Y CONSERVACION ELEMENTOS TRANSPORTE,,,,24000,0,24000,21540.64
,A,132,22100,SUMINISTROS: ENERGÍA ELÉCTRICA,,,,4000,-3900,100,0
,A,132,22101,SUMINISTROS: AGUA,,,,1000,0,1000,1744.86
,A,132,22103,COMBUSTIBLES Y CARBURANTES,,,,22000,0,22000,15224.31
,A,132,22104,VESTUARIO,,,,40000,-20000,20000,0
,A,132,22115,UTILES SEGURIDAD VIAL,,,,18000,-7000,11000,1668.2
,A,132,22118,UTILES,,,,6000,-1000,5000,0
,A,132,22200,SERVICIOS DE TELECOMUNICACIONES,,,,10000,0,10000,7693.59
,A,132,22201,POSTALES,,,,7000,0,7000,8532.5
,A,132,22637,GASTOS DIVERSOS SEGURIDAD CIUDADANA,,,,14000,-6000,8000,7953.38
,A,132,22715,CONTRATOS SERVICIO RETIRADA VEHICULOS VIA PUBLICA,,,,12000,0,12000,4055.05
,A,132,22719,MANTENIMIENTO CLIMATIZACION,,,,5000,0,5000,7286.18
,A,132,23120,DEL PERSONAL NO DIRECTIVO,,,,1000,0,1000,114
,A,132,45320,APORTACION AL CONSORCIO DE TRANSPORTES,,,,75033.65,0,75033.65,75033.65
,A,132,62400,ADQUISICION VEHICULOS POLICIA LOCAL,,,,0,110000,110000,0
,A,132,63400,INVERSION DE REPOSICION EN ELEMENTOS DE TRANSPORTE,,,,10000,-5000,5000,0
,A,135,13000,RETRIBUCIONES BÁSICAS,,,,170000,0,170000,184970.18
,A,135,13002,OTRAS REMUNERACIONES,,,,13000,0,13000,13767.12
,A,135,15000,PRODUCTIVIDAD,,,,123000,0,123000,188078.76
,A,135,16000,SEGURIDAD SOCIAL,,,,94000,0,94000,75041.44
,A,135,16204,ACCIÓN SOCIAL,,,,5000,0,5000,2771.94
,A,135,16205,SEGUROS,,,,500,0,500,402.88
,A,135,16209,OTROS GASTOS SOCIALES,,,,800,0,800,763.14
,A,135,20400,ARRENDAMIENTO MATERIAL DE TRANSPORTE,,,,12500,16394.8,28894.8,28894.8
,A,135,21400,REP. MANT. Y CONSERVACION ELEMENTOS TRANSPORTE,,,,10000,0,10000,8965.38
,A,135,22103,COMBUSTIBLES Y CARBURANTES,,,,4000,0,4000,0
,A,135,22104,VESTUARIO PERSONAL PIMER,,,,10000,-5000,5000,5119.47
,A,135,22111,"SUMINISTROS DE REPUESTOS MAQUINARIA, UTILLAJE Y ELEM.TPTE.",,,,6500,-3500,3000,1146.11
,A,135,22118,UTILES,,,,18000,-6500,11500,60
,A,135,22502,TRIBUTOS AUTONÓMICOS SERVICIO PREVENCIÓN EXTINCIÓN INCENDIOS,,,,1500000,77633.97,1577633.97,1577633.97
,A,135,22690,GASTOS DIVERSOS,,,,10700,-4700,6000,2000.5
,A,241,13000,RETRIBUCIONES BÁSICAS,,,,80000,-13956.86,66043.14,50846.34
,A,241,13002,OTRAS REMUNERACIONES,,,,24000,0,24000,15120.94
,A,241,14300,OTRO PERSONAL,,,,150000,-149999.2,0.8,0
,A,241,14301,SUELDOS PROY ACTIV..PROF.MENOR 30 AÑOS EX GJADLD/0020/2019,,,,0,25587.96,25587.96,25490.88
,A,241,14302,SALARIOS PROYECTO CUALIF.PROF. MENORES AÑOS- GJADLD/0050/201,,,,0,68795.2,68795.2,64403.11
,A,241,14303,SALARIOS PROY CUALIF.PROF.MENORES 30 AÑOS- GJCDLD/0033/2018,,,,0,52955,52955,43694.43
,A,241,14304,SALARIO PROY.CUALIF.MENOR 30 AÑOS EXP. GJCDLD/0012/2019,,,,0,13787.8,13787.8,13787.8
,A,241,14305,SALARIOS PROY.CUALIF.MAYOR 30 AÑOS EX.CDLD/0046/2019,,,,0,7875,7875,7875
,A,241,14306,SALARIOS PROY.REAC..PROF.MAYOR 30 AÑOS RDLD/0085/2019,,,,0,69865.76,69865.76,54052.01
,A,241,14307,SALARIOS PROY. REACT.PROF.MAYORES 30 AÑOS- RDLD/0105/2018,,,,0,155404.52,155404.52,175377.16
,A,241,14309,SALARIOS PROY. CUALIFICAC.MAYORES 30 AÑOS- CDLD/0068/2018,,,,0,66459.4,66459.4,70202.45
,A,241,15000,PRODUCTIVIDAD,,,,11000,0,11000,8884.49
,A,241,16000,SEGURIDAD SOCIAL,,,,54000,110222.37,164222.37,52327.14
,A,241,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,,,,1000,0,1000,1024.4
,A,241,16204,ACCIÓN SOCIAL,,,,4000,0,4000,351.67
,A,241,16205,SEGUROS,,,,400,0,400,265.76
,A,241,16209,OTROS GASTOS SOCIALES,,,,400,0,400,381.57
,A,241,20600,ARRENDAMIENTO EQUIPOS PROCESOS DE INFORMACION,,,,11000,-3394.8,7605.2,6459.21
,A,241,22100,SUMINISTROS: ENERGÍA ELÉCTRICA,,,,29000,-28000,1000,0
,A,241,22101,SUMINISTROS: AGUA,,,,36500,-30000,6500,1039.25
,A,241,22102,GAS,,,,2400,0,2400,3190.66
,A,241,22113,MATERIAL PROGRAMA CUALIFICACION MAYORES 30 AÑOS,,,,0,3500,3500,993.52
,A,241,22120,MATERIALES PROYECTO REACT.PROF.MAYORES 30 AÑOS,,,,0,600,600,0
,A,241,22121,MATERIALES PROYECTO CUALIF.PROF. MAYORES 30 AÑOS,,,,0,1000,1000,0
,A,241,22130,"VESTUARIO,MAT.Y HERRAMIENTAS PROGRAMA REACT. MAYORES 30 AÑOS",,,,0,2000,2000,1544.42
,A,241,22200,SERVICIOS DE TELECOMUNICACIONES,,,,10800,0,10800,8106.65
,A,241,22201,POSTALES,,,,5000,0,5000,6137.04
,A,241,22690,GASTOS DIVERSOS,,,,10000,-1000,9000,1403.13
,A,241,22711,FORMACION PROY ACTIV. MENORES 30 AÑOS EXP. GJADLD/0020/2019,,,,0,7200,7200,4860
,A,241,22713,FORMACION PROY CUALIFMENORES 30 AÑOS EXP. GJCDLD/0012/2019,,,,0,10400,10400,5987.36
,A,241,22717,FORM. PROY. CUALIF. MAYORES 30 AÑOS- CDLD/0046/2019,,,,0,18450,18450,0
,A,241,22718,MANTENIMIENTO ASCENSORES,,,,2500,0,2500,1212.87
,A,241,22719,MANTENIMIENTO CLIMATIZACION,,,,8000,0,8000,4192.22
,A,241,22731,FORM. PROY. CUALIFIC. MENORES 30 AÑOS  GJCDLD/0033/2018,,,,0,16200,16200,6436.91
,A,241,22733,FORMAC.PRO. REACTIV. MAYOR 30 AÑOS RDLD/0085/2019,,,,0,18720,18720,9720
,A,241,22734,"FORMACION PROYECTO CUALIF.MAYOES 30 AÑOS,EX CDLD/0068/2018",,,,0,24000,24000,24000
,A,320,12004,SUELDOS DEL GRUPO C2,,,,9000,-9000,0,0
,A,320,12006,TRIENIOS,,,,3000,-3000,0,0
,A,320,12100,COMPLEMENTO DE DESTINO,,,,6000,-6000,0,0
,A,320,12101,COMPLEMENTO ESPECÍFICO,,,,5000,-5000,0,0
,A,320,13000,RETRIBUCIONES BÁSICAS,,,,135000,-15000,120000,100724.26
,A,320,13002,OTRAS REMUNERACIONES,,,,18000,0,18000,18225.28
,A,320,15000,PRODUCTIVIDAD,,,,30000,0,30000,25322.76
,A,320,16000,SEGURIDAD SOCIAL,,,,64000,-8000,56000,61981.77
,A,320,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,,,,2000,0,2000,956.12
,A,320,16204,ACCIÓN SOCIAL,,,,5000,0,5000,250.53
,A,320,16205,SEGUROS,,,,400,0,400,265.76
,A,320,16209,OTROS GASTOS SOCIALES,,,,300,0,300,285.13
,A,320,20600,ARRENDAMIENTO EQUIPOS PROCESOS DE INFORMACION,,,,1500,0,1500,1046.97
,A,320,21200,REP. MANT. Y CONSERVACION EDIFICIOS,,,,2000,0,2000,209.42
,A,320,22100,SUMINISTROS: ENERGÍA ELÉCTRICA,,,,17000,-16900,100,15876.9
,A,320,22101,SUMINISTROS: AGUA,,,,800,0,800,4793.34
,A,320,22200,SERVICIOS DE TELECOMUNICACIONES,,,,4500,0,4500,2879.89
,A,320,22201,POSTALES,,,,5000,0,5000,5844.68
,A,320,22699,OTROS GASTOS DIVERSOS,,,,36000,-21000,15000,9530.44
,A,320,22718,MANTENIMIENTO ASCENSORES,,,,2500,0,2500,1212.87
,A,320,22719,MANTENIMIENTO CLIMATIZACION,,,,5000,0,5000,2620.98
,A,320,22745,CONTRATO CAMPAMENTO URBANO,,,,70000,146000,216000,202578.75
,A,320,22799,OTROS TRABAJOS REAQLIZADO POR OTRAS EMPRESAS Y PROFES.,,,,5000,0,5000,17804.05
,A,320,42200,CONVENIO UNED,,,,20000,-8500,11500,11221.27
,A,320,48009,CONVENIO ABSENTISMO ESCOLAR,,,,5000,3171.44,8171.44,2179.6
,A,320,48019,PROGRAMA MUNICIPAL DE APOYO A LA ESCOLARIDAD,,,,40000,120293.89,160293.89,88047.22
,A,334,12003,SUELDOS DEL GRUPO C1,,,,12000,0,12000,22745.93
,A,334,12004,SUELDOS DEL GRUPO C2,,,,9000,0,9000,0
,A,334,12006,TRIENIOS,,,,6000,0,6000,7582.11
,A,334,12100,COMPLEMENTO DE DESTINO,,,,14000,0,14000,13988.79
,A,334,12101,COMPLEMENTO ESPECÍFICO,,,,19000,0,19000,19427.46
,A,334,13000,RETRIBUCIONES BÁSICAS,,,,309000,0,309000,320012.11
,A,334,13002,OTRAS REMUNERACIONES,,,,88000,0,88000,84174.58
,A,334,15000,PRODUCTIVIDAD,,,,53000,0,53000,53613.99
,A,334,15200,OTROS INCENTIVOS AL RENDIMIENTO,,,,26000,0,26000,30187.91
,A,334,16000,SEGURIDAD SOCIAL,,,,164000,0,164000,158828.33
,A,334,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,,,,2000,0,2000,2641.53
,A,334,16204,ACCIÓN SOCIAL,,,,17000,0,17000,14141.77
,A,334,16205,SEGUROS,,,,1400,0,1400,1128.49
,A,334,16209,OTROS GASTOS SOCIALES,,,,1200,0,1200,1142.6
,A,334,20600,ARRENDAMIENTO EQUIPOS PROCESOS DE INFORMACION,,,,16000,-6000,10000,9287.23
,A,334,20900,CÁNONES.,,,,4000,12000,16000,15987.1
,A,334,21200,REP. MANT. Y CONSERVACION EDIFICIOS,,,,46000,0,46000,11066.31
