#Eco.,Descripción,Previsiones Iniciales,Total Modificaciones,Previsiones totales,Derechos Reconocidos Netos
11200,DE NATURALEZA RUSTICA,330000,0,330000,194916.69
11300,DE NATURALEZA URBANA,16117000,0,16117000,16857642.58
11500,IMPUESTO SOBRE VEHICULOS DE TRACCION MECANICA,1800000,0,1800000,1840175.77
11600,IMPUESTO SOBRE INCREMENTO VALOR TERRENOS,2000000,0,2000000,2251050.65
13000,IMPUESTO SOBRE ACTIVIDADES ECONOMICAS,2400000,0,2400000,2648764.1
29000,"IMPUESTO SOBRE CONSTRUCCIONES, INSTALACIONES Y OBRAS",1100000,0,1100000,1171426.34
30200,TASA POR PRESTACION SERVICIO RECOGIDA DE RESIDUOS,200000,0,200000,179544.76
31300,TASA POR ALQUILER DE INSTALACIONES DEPORTIVAS,50000,0,50000,54764.65
31900,TASA POR ALQUILER DE INSTALACIONES CULTURALES,20000,0,20000,19373.43
32100,TASA LICENCIAS URBANÍSTICAS,700000,0,700000,745796.64
32101,TASA POR LICENCIA DE APERTURA,500000,0,500000,436569.71
32500,TASA POR EXPEDICIÓN DE DOCUMENTOS,30000,0,30000,14409.4
32501,TASA POR GESTIONES TRAFICO,0,0,0,3227
32600,TASA POR RETIRADA DE VEHÍCULOS.,5000,0,5000,0
32900,TASA TENENCIA ANIMALES PELIGROSOS,1000,0,1000,928
32901,TASA POR CELEBRACION DE MATRIMONIOS CIVILES,10000,0,10000,6402.68
33100,TASA POR ENTRADA DE VEHICULOS A TRAVÉS DE LAS ACERAS,200000,0,200000,178108.21
33200,TASA POR OCUPACION SUBSUELO Y VUELO DOMINIO PUBLICO,1000000,0,1000000,688772.24
33500,TASA POR OCUPACION DOMINIO PUBLICO MESAS Y SILLAS,100000,0,100000,79535.44
33800,COMPENSACION TELEFONICA DE ESPAÑA,200000,0,200000,193795.21
33901,TASA POR OCUPACION DOMINIO PUBLICO CON QUIOSCOS,3000,0,3000,1314.84
33902,TASA POR OCUPACION DOMINIO PUBLICO PUESTOS MERCADILLO,30000,0,30000,26612.35
33903,TASA POR OCUPACION DOMINIO PUBLICO PUESTOS ESPORADICOS,65000,0,65000,55731.4
33904,"TASA POR OCUPACION DOMINIO PUBLICO CON VALLAS, ANDAMIOS, ETC",50000,0,50000,117977.46
33905,TASA POR OCUPACION VIA PUBLICA CON CAJEROS,10000,0,10000,9038.29
33906,TASA PARKING AUTOCARAVANAS,10000,0,10000,26892.24
34100,PRECIO PUBLICO USUARIOS SERVICIOS SOCIALES- TELEASISTENCIA,10000,0,10000,12689.45
34201,ACTIVIDADES EXTRAESCOLARES,10000,0,10000,24970.56
34202,PRECIO PUBLICO SERVICIO HORARIO AMPLIADO,200000,0,200000,204910.07
34203,PRECIO PUBLICO ESCUELA DE MUSICA,240000,0,240000,224598.12
34204,PRECIO PUBLICO ACTIVIDADES CULTURALES,20000,0,20000,9944.3
34205,PRECIO PUBLICO SERVICIOS ESCUELA INFANTIL,237000,0,237000,176124.86
34206,PRECIO PUBLICO ACTIVIDADES DE JUVENTUD,3000,0,3000,-112
34207,LUDOTECA,66000,0,66000,58018
34208,CAMPAMENTO URBANO,0,0,0,127286.8
34400,TASA POR TAQUILLAS DE EVENTOS CULTURALES,35000,0,35000,41745.01
34401,ENTRADAS TORRE EBOLI,0,0,0,3304.3
389,REINTEGROS DE EJERCICIOS CERRADOS,0,0,0,32519.98
39120,MULTAS POR INFRACCIONES DE LA ORDENANZA DE CIRCULACIÓN,160000,0,160000,45259.08
39190,OTRAS MULTAS Y SANCIONES,25000,0,25000,49701.66
39211,RECARGO DE APREMIO,300000,0,300000,340742.76
39300,INTERESES DE DEMORA,220000,0,220000,179751.3
39800,INDEMNIZACIONES DE SEGUROS DE NO VIDA.,30000,0,30000,6267.97
39900,OTROS INGRESOS DIVERSOS,75000,0,75000,444903.18
39901,ANUNCIOS A CARGO DE PARTICULARES,20000,0,20000,5269.77
39902,INGRESOS EMPRESAS PRIVADAS PATROCINIO FIESTAS PATRONALES,0,55670,55670,55670
39903,INGRESOS PATROCINIO FIESTAS NAVIDAD,0,14438.04,14438.04,11932.26
39904,INGRESOS UTE VALORIZA PLIEGO TÉCNICO,0,57654.88,57654.88,106224.74
39905,OTROS INGRESOS - AT. PINTO,3500,0,3500,2916.62
39907,INGRESOS DIVIDENDOS CANAL ISABEL II,220000,0,220000,417073.9
42000,PARTICIPACIÓN EN TRIBUTOS DEL ESTADO,9500000,0,9500000,11356093.15
42020,COMPENSACIÓN POR BENEFICIOS FISCALES,44000,0,44000,0
42090,OTRAS TRANSF. CORRIENTES ADMON.GRAL- PACTO CONTRA VIOLENCIA,0,25863.69,25863.69,50988.32
45002,TRANSF. CAMP CONVENIO SERVICIOS SOCIALES,445987.08,0,445987.08,279671.3
45004,TRANSF. CAM CONVENIO ERRADICACIÓN DE VIOLENCIA DE GÉNERO,98978.22,0,98978.22,44855.18
45030,TRANSFER. CAM ESCUELAS INFANTILES,419592.91,0,419592.91,546143.05
45031,TRANSFERENCIAS CAM PLANES DE FORMACION,0,47930,47930,47930
45034,TRANSFERENCIAS CAM A CONVENIO ABSENTISMO ESCOLAR,8038.47,0,8038.47,0
45035,TRANSFER. CAM DEPORTES,10000,0,10000,0
45036,TRANSFERENCIAS INAP,8000,0,8000,0
45052,TRANS.CAM PROY.ACTIV.PROF.MENOR 30 AÑO  EXP.GJADLD/0050/2018,0,86836.2,86836.2,62523.25
45053,TRANS.CAM PROY.CUALIF.PROF.MENOR 30 AÑO EXP.GJCDLD/0033/2018,0,72200,72200,56315.61
45054,TRANSF.C.MADRIDPROY REAC.PROF.MAYOR 30 AÑOS RDLD/0105/2018,0,179559.6,179559.6,128197.82
45055,TRANSF.C.MADRI PROY CUALIF.PROF. MAYOR 30 AÑO CDLD/0068/2018,0,56000,56000,27189.98
45056,TRANSF.C.MADRID ACTIV.PROF.MENOR 30 AÑOS GJADLD/0020/2019,0,40860.96,40860.96,40860.96
45057,TRANS.C.MADRID CUALIF. MENOR 30 AÑOS GJCDLD/0012/2019,0,26375.6,26375.6,26375.6
45058,TRANSF.C.MADRID CUALIF.MAYOR 30 AÑOS CDLD/0046/2019,0,26450,26450,26450
45059,TRANSF.C.MADRID REACTIV.  PROF. MAYOR 30 AÑOS RDLD/0085/2019,0,110628.41,110628.41,110628.41
45061,TRANSFERENCIAS FUNCIONAMIENTO JUZGADO DE PAZ,2400,0,2400,2283
45062,TRANSFERENCIAS CAM BESCAM,1210000,0,1210000,907488
